learning_rate,step,train_loss,train_accuracy,test_loss,test_accuracy
1.000000000000000021e-03,1.000000000000000000e+02,1.057650569151035169e+00,5.000000000000000000e-01,1.052141342469489649e+00,5.000000000000000000e-01
1.000000000000000021e-03,2.000000000000000000e+02,9.639675882041831567e-01,5.000000000000000000e-01,9.606799386371221994e-01,5.000000000000000000e-01
1.000000000000000021e-03,3.000000000000000000e+02,8.856903868915279032e-01,5.000000000000000000e-01,8.843710050501976117e-01,5.000000000000000000e-01
1.000000000000000021e-03,4.000000000000000000e+02,8.202041992325703745e-01,5.000000000000000000e-01,8.207614570729770964e-01,5.000000000000000000e-01
1.000000000000000021e-03,5.000000000000000000e+02,7.655051239720925826e-01,5.000000000000000000e-01,7.677788297445365950e-01,5.000000000000000000e-01
1.000000000000000056e-01,1.000000000000000000e+02,7.675073767989624984e-02,1.000000000000000000e+00,8.486549455419162280e-02,1.000000000000000000e+00
1.000000000000000056e-01,2.000000000000000000e+02,2.953663356165162762e-02,1.000000000000000000e+00,3.508894847787508153e-02,1.000000000000000000e+00
1.000000000000000056e-01,3.000000000000000000e+02,1.743868822694768020e-02,1.000000000000000000e+00,2.185378292603480307e-02,1.000000000000000000e+00
1.000000000000000056e-01,4.000000000000000000e+02,1.219566825281153365e-02,1.000000000000000000e+00,1.594207738176835198e-02,1.000000000000000000e+00
1.000000000000000056e-01,5.000000000000000000e+02,9.322444321092679398e-03,1.000000000000000000e+00,1.261183827840912236e-02,1.000000000000000000e+00
1.000000000000000000e+01,1.000000000000000000e+02,2.471274129230966565e+00,5.000000000000000000e-01,2.471274129230966565e+00,5.000000000000000000e-01
1.000000000000000000e+01,2.000000000000000000e+02,2.471273701872446438e+00,5.000000000000000000e-01,2.471273701872446438e+00,5.000000000000000000e-01
1.000000000000000000e+01,3.000000000000000000e+02,2.471273701872224393e+00,5.000000000000000000e-01,2.471273701872224393e+00,5.000000000000000000e-01
1.000000000000000000e+01,4.000000000000000000e+02,2.471273701872216844e+00,5.000000000000000000e-01,2.471273701872216844e+00,5.000000000000000000e-01
1.000000000000000000e+01,5.000000000000000000e+02,2.471273701872216844e+00,5.000000000000000000e-01,2.471273701872216844e+00,5.000000000000000000e-01
