validation_position,original_dataset_index,true_index,true_class,predicted_index,predicted_class,confidence,correct
2885,31563,8,ship,0,airplane,0.999745786190033,False
4070,23591,4,deer,7,horse,0.9987198114395142,False
486,6264,9,truck,8,ship,0.9945819973945618,False
733,4821,0,airplane,9,truck,0.9927244782447815,False
2409,29230,1,automobile,9,truck,0.9919539093971252,False
4721,2789,2,bird,0,airplane,0.9894335865974426,False
3864,40515,2,bird,0,airplane,0.988403856754303,False
1845,39112,2,bird,0,airplane,0.9846145510673523,False
2478,19579,2,bird,1,automobile,0.9831991791725159,False
3371,38479,0,airplane,1,automobile,0.9820945858955383,False
52,16905,4,deer,7,horse,0.981890082359314,False
1336,35037,1,automobile,9,truck,0.9796477556228638,False
24,3252,4,deer,7,horse,0.9796016216278076,False
3258,32585,4,deer,0,airplane,0.9767246842384338,False
2392,33947,4,deer,7,horse,0.9734034538269043,False
4858,34091,6,frog,2,bird,0.972277820110321,False
4135,29231,1,automobile,0,airplane,0.9701871871948242,False
898,27468,4,deer,7,horse,0.9695256948471069,False
2515,15734,4,deer,0,airplane,0.9694488644599915,False
4126,18665,6,frog,3,cat,0.9692806005477905,False
3782,49881,2,bird,0,airplane,0.9662669897079468,False
4960,37663,2,bird,8,ship,0.9656158685684204,False
2965,36410,2,bird,9,truck,0.9646577835083008,False
1915,26068,4,deer,7,horse,0.9581950902938843,False
1486,43241,4,deer,0,airplane,0.9575985074043274,False
4778,44188,9,truck,0,airplane,0.9548636674880981,False
327,24694,2,bird,6,frog,0.9545667767524719,False
1018,32843,3,cat,6,frog,0.9544171690940857,False
2940,46445,8,ship,0,airplane,0.9533106088638306,False
2893,17045,4,deer,1,automobile,0.9527771472930908,False
2449,42687,2,bird,0,airplane,0.9489102959632874,False
3062,13694,8,ship,1,automobile,0.9468885660171509,False
1988,43490,3,cat,5,dog,0.9460362792015076,False
836,48501,2,bird,0,airplane,0.9450908303260803,False
4399,41648,4,deer,7,horse,0.9446766972541809,False
3214,30466,2,bird,6,frog,0.9445297718048096,False
2838,43742,3,cat,7,horse,0.9434642791748047,False
742,10929,3,cat,5,dog,0.9417238831520081,False
3252,1349,4,deer,7,horse,0.9389456510543823,False
4142,9440,2,bird,6,frog,0.9385712146759033,False
4682,22035,2,bird,0,airplane,0.9382821917533875,False
4532,30047,1,automobile,8,ship,0.9376110434532166,False
2431,26857,5,dog,3,cat,0.9376049637794495,False
3688,8200,0,airplane,8,ship,0.9371680617332458,False
3566,20577,3,cat,1,automobile,0.9343831539154053,False
4526,20470,4,deer,7,horse,0.9328991770744324,False
1496,28225,2,bird,6,frog,0.9324217438697815,False
117,46457,2,bird,6,frog,0.9316850304603577,False
602,30079,4,deer,7,horse,0.9288209080696106,False
490,40891,3,cat,8,ship,0.9279845356941223,False
