model,parameter_count,epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,epoch_seconds
mlp,24674,1,1.9345973094304403,0.3025333333333333,1.79006936378479,0.3704,4.249041302999103
mlp,24674,2,1.7493095705456203,0.37295555555555554,1.7322826822280883,0.3854,6.060067365999203
mlp,24674,3,1.703844433763292,0.38922222222222225,1.7142927661895753,0.4044,7.169380830000591
mlp,24674,4,1.6807926243040296,0.40115555555555554,1.714162505722046,0.3942,3.8022994740003924
mlp,24674,5,1.66499314227634,0.40742222222222224,1.6909383598327636,0.402,3.7427164879991324
cnn,25578,1,1.4503066410594516,0.4871333333333333,1.2446417905807494,0.5512,6.83902056000079
cnn,25578,2,1.1623326166470846,0.5933333333333334,1.122413779735565,0.6036,5.782262474000163
cnn,25578,3,1.0423900314119128,0.6361333333333333,1.041410324573517,0.6408,5.792496605999986
cnn,25578,4,0.9665169801923964,0.6648666666666667,1.0295979152679444,0.6422,5.826914596000279
cnn,25578,5,0.9118815129386054,0.6840444444444445,0.9853412435531617,0.6564,5.8302198849996785
