iteration,batch_size,warmup_iterations,measured_iterations,latency_ms,is_max
1,1,10,100,0.039128,0
2,1,10,100,0.038969,0
3,1,10,100,0.042109,1
4,1,10,100,0.036952,0
5,1,10,100,0.036134,0
6,1,10,100,0.035981,0
7,1,10,100,0.038571,0
8,1,10,100,0.03736,0
9,1,10,100,0.040513,0
10,1,10,100,0.038117,0
11,1,10,100,0.037787,0
12,1,10,100,0.036719,0
13,1,10,100,0.03802,0
14,1,10,100,0.037055,0
15,1,10,100,0.038414,0
16,1,10,100,0.034994,0
17,1,10,100,0.036184,0
18,1,10,100,0.034879,0
19,1,10,100,0.035763,0
20,1,10,100,0.035658,0
21,1,10,100,0.035403,0
22,1,10,100,0.035977,0
23,1,10,100,0.038512,0
24,1,10,100,0.036955,0
25,1,10,100,0.037549,0
26,1,10,100,0.036038,0
27,1,10,100,0.039619,0
28,1,10,100,0.036117,0
29,1,10,100,0.036675,0
30,1,10,100,0.040029,0
31,1,10,100,0.037826,0
32,1,10,100,0.037657,0
33,1,10,100,0.036867,0
34,1,10,100,0.037563,0
35,1,10,100,0.036992,0
36,1,10,100,0.037858,0
37,1,10,100,0.037234,0
38,1,10,100,0.037752,0
39,1,10,100,0.038036,0
40,1,10,100,0.037058,0
41,1,10,100,0.037604,0
42,1,10,100,0.036066,0
43,1,10,100,0.037183,0
44,1,10,100,0.036745,0
45,1,10,100,0.037105,0
46,1,10,100,0.037934,0
47,1,10,100,0.03728,0
48,1,10,100,0.037804,0
49,1,10,100,0.03699,0
50,1,10,100,0.037187,0
51,1,10,100,0.037869,0
52,1,10,100,0.038083,0
53,1,10,100,0.039955,0
54,1,10,100,0.039716,0
55,1,10,100,0.037056,0
56,1,10,100,0.03719,0
57,1,10,100,0.038226,0
58,1,10,100,0.036244,0
59,1,10,100,0.037392,0
60,1,10,100,0.038138,0
61,1,10,100,0.037199,0
62,1,10,100,0.036806,0
63,1,10,100,0.038409,0
64,1,10,100,0.038616,0
65,1,10,100,0.037034,0
66,1,10,100,0.03615,0
67,1,10,100,0.038268,0
68,1,10,100,0.036567,0
69,1,10,100,0.034037,0
70,1,10,100,0.037515,0
71,1,10,100,0.037678,0
72,1,10,100,0.038194,0
73,1,10,100,0.037623,0
74,1,10,100,0.037513,0
75,1,10,100,0.037799,0
76,1,10,100,0.034469,0
77,1,10,100,0.036101,0
78,1,10,100,0.034588,0
79,1,10,100,0.0368,0
80,1,10,100,0.037027,0
81,1,10,100,0.03949,0
82,1,10,100,0.039351,0
83,1,10,100,0.039335,0
84,1,10,100,0.037142,0
85,1,10,100,0.036048,0
86,1,10,100,0.036629,0
87,1,10,100,0.036551,0
88,1,10,100,0.035975,0
89,1,10,100,0.034803,0
90,1,10,100,0.035766,0
91,1,10,100,0.035488,0
92,1,10,100,0.035838,0
93,1,10,100,0.035943,0
94,1,10,100,0.03539,0
95,1,10,100,0.035842,0
96,1,10,100,0.034353,0
97,1,10,100,0.036546,0
98,1,10,100,0.037484,0
99,1,10,100,0.036865,0
100,1,10,100,0.035563,0
