iteration,batch_size,warmup_iterations,measured_iterations,latency_ms,is_max
1,4,10,100,0.056349,0
2,4,10,100,0.056452,0
3,4,10,100,0.054977,0
4,4,10,100,0.05668,0
5,4,10,100,0.056108,0
6,4,10,100,0.062227,0
7,4,10,100,0.06124,0
8,4,10,100,0.062181,0
9,4,10,100,0.061764,0
10,4,10,100,0.060472,0
11,4,10,100,0.059008,0
12,4,10,100,0.059993,0
13,4,10,100,0.061015,0
14,4,10,100,0.059475,0
15,4,10,100,0.061776,0
16,4,10,100,0.061387,0
17,4,10,100,0.061705,0
18,4,10,100,0.060732,0
19,4,10,100,0.061931,0
20,4,10,100,0.062528,0
21,4,10,100,0.060938,0
22,4,10,100,0.054694,0
23,4,10,100,0.063889,0
24,4,10,100,0.056214,0
25,4,10,100,0.056623,0
26,4,10,100,0.06233,0
27,4,10,100,0.056279,0
28,4,10,100,0.055324,0
29,4,10,100,0.058082,0
30,4,10,100,0.056959,0
31,4,10,100,0.057071,0
32,4,10,100,0.061406,0
33,4,10,100,0.064039,0
34,4,10,100,0.056335,0
35,4,10,100,0.056717,0
36,4,10,100,0.058344,0
37,4,10,100,0.057176,0
38,4,10,100,0.055352,0
39,4,10,100,0.056567,0
40,4,10,100,0.05964,0
41,4,10,100,0.056305,0
42,4,10,100,0.055376,0
43,4,10,100,0.059014,0
44,4,10,100,0.058712,0
45,4,10,100,0.058472,0
46,4,10,100,0.055663,0
47,4,10,100,0.055729,0
48,4,10,100,0.056538,0
49,4,10,100,0.05552,0
50,4,10,100,0.073084,0
51,4,10,100,0.056554,0
52,4,10,100,0.054847,0
53,4,10,100,0.056179,0
54,4,10,100,0.05947,0
55,4,10,100,0.055939,0
56,4,10,100,0.056509,0
57,4,10,100,0.058495,0
58,4,10,100,0.054108,0
59,4,10,100,0.057516,0
60,4,10,100,0.077123,0
61,4,10,100,0.062826,0
62,4,10,100,0.058357,0
63,4,10,100,0.061516,0
64,4,10,100,0.060447,0
65,4,10,100,0.056914,0
66,4,10,100,0.0554,0
67,4,10,100,0.055217,0
68,4,10,100,0.054879,0
69,4,10,100,0.054866,0
70,4,10,100,0.054167,0
71,4,10,100,0.055938,0
72,4,10,100,0.056105,0
73,4,10,100,0.056016,0
74,4,10,100,0.059699,0
75,4,10,100,0.057968,0
76,4,10,100,0.05669,0
77,4,10,100,0.05684,0
78,4,10,100,0.054947,0
79,4,10,100,0.05625,0
80,4,10,100,0.055924,0
81,4,10,100,0.05973,0
82,4,10,100,0.072924,0
83,4,10,100,0.092297,1
84,4,10,100,0.078517,0
85,4,10,100,0.07787,0
86,4,10,100,0.081939,0
87,4,10,100,0.088986,0
88,4,10,100,0.078631,0
89,4,10,100,0.08173,0
90,4,10,100,0.087408,0
91,4,10,100,0.086525,0
92,4,10,100,0.079795,0
93,4,10,100,0.083047,0
94,4,10,100,0.086299,0
95,4,10,100,0.080188,0
96,4,10,100,0.069033,0
97,4,10,100,0.061947,0
98,4,10,100,0.067931,0
99,4,10,100,0.070337,0
100,4,10,100,0.070527,0
