iteration,batch_size,warmup_iterations,measured_iterations,preprocess_ms,inference_ms,postprocess_ms,end_to_end_ms,stage_sum_ms
1,8,10,100,0.490758,0.079989,0.0131,0.583847,0.583847
2,8,10,100,0.462124,0.08277,0.012777,0.557671,0.557671
3,8,10,100,0.457436,0.072677,0.012786,0.542899,0.542899
4,8,10,100,0.459083,0.077303,0.012659,0.549045,0.549045
5,8,10,100,0.456681,0.086925,0.014111,0.557717,0.557717
6,8,10,100,0.466963,0.076091,0.012927,0.555981,0.555981
7,8,10,100,0.457636,0.078942,0.01276,0.549338,0.549338
8,8,10,100,0.459942,0.08241,0.013022,0.555374,0.555374
9,8,10,100,0.460539,0.079515,0.01239,0.552444,0.552444
10,8,10,100,0.465302,0.08968,0.012848,0.56783,0.56783
11,8,10,100,0.463309,0.100485,0.012716,0.57651,0.57651
12,8,10,100,0.458457,0.075491,0.012311,0.546259,0.546259
13,8,10,100,0.46005,0.076424,0.012874,0.549348,0.549348
14,8,10,100,0.510431,0.078079,0.013166,0.601676,0.601676
15,8,10,100,0.488254,0.089455,0.015973,0.593682,0.593682
16,8,10,100,0.550813,0.091235,0.015899,0.657947,0.657947
17,8,10,100,0.526996,0.075698,0.012605,0.615299,0.615299
18,8,10,100,0.458943,0.075997,0.012932,0.547872,0.547872
19,8,10,100,0.456582,0.080469,0.014243,0.551294,0.551294
20,8,10,100,0.472939,0.077759,0.013083,0.563781,0.563781
21,8,10,100,0.461839,0.074993,0.01262,0.549452,0.549452
22,8,10,100,0.459367,0.077015,0.012833,0.549215,0.549215
23,8,10,100,0.465842,0.075394,0.012899,0.554135,0.554135
24,8,10,100,0.45937,0.075523,0.013054,0.547947,0.547947
25,8,10,100,0.456172,0.080306,0.012571,0.549049,0.549049
26,8,10,100,0.455941,0.078082,0.014332,0.548355,0.548355
27,8,10,100,0.477218,0.080359,0.01278,0.570357,0.570357
28,8,10,100,0.457299,0.075975,0.012852,0.546126,0.546126
29,8,10,100,0.45975,0.075216,0.01257,0.547536,0.547536
30,8,10,100,0.455938,0.072619,0.012513,0.54107,0.54107
31,8,10,100,0.459811,0.071904,0.012677,0.544392,0.544392
32,8,10,100,0.463157,0.076279,0.012308,0.551744,0.551744
33,8,10,100,0.457824,0.077684,0.013455,0.548963,0.548963
34,8,10,100,0.470093,0.077634,0.012247,0.559974,0.559974
35,8,10,100,0.456893,0.075225,0.012191,0.544309,0.544309
36,8,10,100,0.45901,0.077495,0.012712,0.549217,0.549217
37,8,10,100,0.456292,0.072964,0.011761,0.541017,0.541017
38,8,10,100,0.46379,0.071636,0.012459,0.547885,0.547885
39,8,10,100,0.458218,0.076865,0.012884,0.547967,0.547967
40,8,10,100,0.460878,0.077149,0.014379,0.552406,0.552406
41,8,10,100,0.471492,0.074418,0.012678,0.558588,0.558588
42,8,10,100,0.458869,0.073285,0.012358,0.544512,0.544512
43,8,10,100,0.456123,0.077061,0.012515,0.545699,0.545699
44,8,10,100,0.469952,0.081782,0.013791,0.565525,0.565525
45,8,10,100,0.502769,0.082241,0.013877,0.598887,0.598887
46,8,10,100,0.481082,0.083507,0.013019,0.577608,0.577608
47,8,10,100,0.484372,0.078586,0.014556,0.577514,0.577514
48,8,10,100,0.498551,0.085576,0.01357,0.597697,0.597697
49,8,10,100,0.513018,0.081912,0.013713,0.608643,0.608643
50,8,10,100,0.499154,0.081032,0.013352,0.593538,0.593538
51,8,10,100,0.513642,0.081744,0.013573,0.608959,0.608959
52,8,10,100,0.49786,0.082529,0.01362,0.594009,0.594009
53,8,10,100,0.493078,0.078484,0.012954,0.584516,0.584516
54,8,10,100,0.482703,0.081781,0.01509,0.579574,0.579574
