iteration,batch_size,warmup_iterations,measured_iterations,preprocess_ms,inference_ms,postprocess_ms,end_to_end_ms,stage_sum_ms
1,1,10,100,0.06309,0.038762,0.001903,0.103755,0.103755
2,1,10,100,0.061125,0.039146,0.001905,0.102176,0.102176
3,1,10,100,0.064859,0.039715,0.001845,0.106419,0.106419
4,1,10,100,0.064515,0.040619,0.001908,0.107042,0.107042
5,1,10,100,0.060488,0.037584,0.001947,0.100019,0.100019
6,1,10,100,0.065855,0.038463,0.001953,0.106271,0.106271
7,1,10,100,0.06861,0.038748,0.001869,0.109227,0.109227
8,1,10,100,0.06165,0.037427,0.001938,0.101015,0.101015
9,1,10,100,0.061911,0.043674,0.001915,0.1075,0.1075
10,1,10,100,0.062455,0.039483,0.002022,0.10396,0.10396
11,1,10,100,0.061688,0.03719,0.001947,0.100825,0.100825
12,1,10,100,0.061815,0.03701,0.001897,0.100722,0.100722
13,1,10,100,0.061718,0.035116,0.002023,0.098857,0.098857
14,1,10,100,0.061867,0.036497,0.001858,0.100222,0.100222
15,1,10,100,0.067684,0.035477,0.001848,0.105009,0.105009
16,1,10,100,0.06552,0.036414,0.001894,0.103828,0.103828
17,1,10,100,0.06144,0.036589,0.001968,0.099997,0.099997
18,1,10,100,0.067286,0.037204,0.001935,0.106425,0.106425
19,1,10,100,0.06226,0.04074,0.001903,0.104903,0.104903
20,1,10,100,0.062626,0.036346,0.002142,0.101114,0.101114
21,1,10,100,0.062218,0.04057,0.001864,0.104652,0.104652
22,1,10,100,0.061668,0.03829,0.00194,0.101898,0.101898
23,1,10,100,0.062032,0.03709,0.001959,0.101081,0.101081
24,1,10,100,0.062216,0.039071,0.001952,0.103239,0.103239
25,1,10,100,0.062194,0.038479,0.001829,0.102502,0.102502
26,1,10,100,0.066977,0.035826,0.001969,0.104772,0.104772
27,1,10,100,0.061409,0.04046,0.001823,0.103692,0.103692
28,1,10,100,0.062871,0.041787,0.001984,0.106642,0.106642
29,1,10,100,0.06546,0.03672,0.002114,0.104294,0.104294
30,1,10,100,0.07016,0.039618,0.002242,0.11202,0.11202
31,1,10,100,0.070311,0.038406,0.001948,0.110665,0.110665
32,1,10,100,0.062551,0.037485,0.002065,0.102101,0.102101
33,1,10,100,0.062662,0.041436,0.002096,0.106194,0.106194
34,1,10,100,0.071617,0.043144,0.002027,0.116788,0.116788
35,1,10,100,0.066818,0.043197,0.001994,0.112009,0.112009
36,1,10,100,0.072357,0.04221,0.002079,0.116646,0.116646
37,1,10,100,0.068769,0.042662,0.002024,0.113455,0.113455
38,1,10,100,0.067514,0.037458,0.002085,0.107057,0.107057
39,1,10,100,0.065166,0.037398,0.00207,0.104634,0.104634
40,1,10,100,0.065008,0.038228,0.002038,0.105274,0.105274
41,1,10,100,0.064887,0.04002,0.002052,0.106959,0.106959
42,1,10,100,0.074305,0.039326,0.002059,0.11569,0.11569
43,1,10,100,0.064134,0.039963,0.002119,0.106216,0.106216
44,1,10,100,0.074041,0.037579,0.001988,0.113608,0.113608
45,1,10,100,0.072722,0.038673,0.001981,0.113376,0.113376
46,1,10,100,0.072636,0.040593,0.002138,0.115367,0.115367
47,1,10,100,0.06856,0.037679,0.002004,0.108243,0.108243
48,1,10,100,0.065216,0.036609,0.001979,0.103804,0.103804
49,1,10,100,0.064666,0.036824,0.002012,0.103502,0.103502
50,1,10,100,0.064757,0.040116,0.002043,0.106916,0.106916
51,1,10,100,0.064716,0.038998,0.002094,0.105808,0.105808
52,1,10,100,0.073148,0.039943,0.002044,0.115135,0.115135
53,1,10,100,0.067891,0.03941,0.002029,0.10933,0.10933
54,1,10,100,0.065087,0.039896,0.002036,0.107019,0.107019
55,1,10,100,0.065529,0.053229,0.001963,0.120721,0.120721
56,1,10,100,0.067945,0.039887,0.001999,0.109831,0.109831
57,1,10,100,0.06529,0.042783,0.001999,0.110072,0.110072
58,1,10,100,0.065133,0.037421,0.002007,0.104561,0.104561
59,1,10,100,0.065198,0.041722,0.001985,0.108905,0.108905
60,1,10,100,0.069154,0.037209,0.002078,0.108441,0.108441
61,1,10,100,0.064754,0.037998,0.002044,0.104796,0.104796
62,1,10,100,0.065121,0.041597,0.002031,0.108749,0.108749
63,1,10,100,0.065774,0.042023,0.002053,0.10985,0.10985
64,1,10,100,0.064485,0.039321,0.002188,0.105994,0.105994
65,1,10,100,0.073839,0.048007,0.00234,0.124186,0.124186
66,1,10,100,0.074929,0.041886,0.002127,0.118942,0.118942
67,1,10,100,0.066739,0.043184,0.002122,0.112045,0.112045
68,1,10,100,0.067512,0.041676,0.002179,0.111367,0.111367
69,1,10,100,0.067452,0.043001,0.002148,0.112601,0.112601
70,1,10,100,0.070563,0.041429,0.002078,0.11407,0.11407
71,1,10,100,0.072415,0.040529,0.002126,0.11507,0.11507
72,1,10,100,0.066995,0.040042,0.002147,0.109184,0.109184
73,1,10,100,0.072614,0.041419,0.002186,0.116219,0.116219
74,1,10,100,0.069642,0.042447,0.00206,0.114149,0.114149
75,1,10,100,0.066926,0.040361,0.002121,0.109408,0.109408
76,1,10,100,0.06622,0.041732,0.002045,0.109997,0.109997
77,1,10,100,0.066492,0.042132,0.002157,0.110781,0.110781
78,1,10,100,0.066841,0.039528,0.002012,0.108381,0.108381
79,1,10,100,0.07072,0.04345,0.002122,0.116292,0.116292
80,1,10,100,0.068374,0.042593,0.002133,0.1131,0.1131
81,1,10,100,0.073319,0.044079,0.002098,0.119496,0.119496
82,1,10,100,0.073077,0.041063,0.002117,0.116257,0.116257
83,1,10,100,0.070898,0.041685,0.002088,0.114671,0.114671
84,1,10,100,0.068211,0.043245,0.002128,0.113584,0.113584
85,1,10,100,0.068215,0.04228,0.002183,0.112678,0.112678
86,1,10,100,0.068306,0.045429,0.002079,0.115814,0.115814
87,1,10,100,0.06829,0.044305,0.002208,0.114803,0.114803
88,1,10,100,0.070081,0.042566,0.002209,0.114856,0.114856
89,1,10,100,0.069206,0.039323,0.002222,0.110751,0.110751
90,1,10,100,0.068302,0.039552,0.002171,0.110025,0.110025
91,1,10,100,0.074654,0.051387,0.002142,0.128183,0.128183
92,1,10,100,0.069054,0.04121,0.002307,0.112571,0.112571
93,1,10,100,0.068479,0.044478,0.00211,0.115067,0.115067
94,1,10,100,0.068347,0.044173,0.00218,0.1147,0.1147
95,1,10,100,0.068478,0.044516,0.002042,0.115036,0.115036
96,1,10,100,0.066616,0.041059,0.002145,0.10982,0.10982
97,1,10,100,0.067054,0.040294,0.002062,0.10941,0.10941
98,1,10,100,0.066582,0.039426,0.002061,0.108069,0.108069
99,1,10,100,0.077445,0.040943,0.002335,0.120723,0.120723
100,1,10,100,0.074195,0.04291,0.002148,0.119253,0.119253
