iteration,batch_size,warmup_iterations,measured_iterations,preprocess_ms,inference_ms,postprocess_ms,end_to_end_ms,stage_sum_ms
1,1,10,100,0.060669,0.034806,0.004971,0.100446,0.100446
2,1,10,100,0.059845,0.038571,0.001811,0.100227,0.100227
3,1,10,100,0.059016,0.038267,0.001741,0.099024,0.099024
4,1,10,100,0.0596,0.034427,0.001755,0.095782,0.095782
5,1,10,100,0.058809,0.035666,0.001724,0.096199,0.096199
6,1,10,100,0.058747,0.034044,0.001713,0.094504,0.094504
7,1,10,100,0.058728,0.03336,0.001835,0.093923,0.093923
8,1,10,100,0.05849,0.033477,0.001776,0.093743,0.093743
9,1,10,100,0.058753,0.036648,0.001662,0.097063,0.097063
10,1,10,100,0.058376,0.035427,0.001778,0.095581,0.095581
11,1,10,100,0.058378,0.036829,0.001743,0.09695,0.09695
12,1,10,100,0.062557,0.033682,0.001702,0.097941,0.097941
13,1,10,100,0.05854,0.033044,0.001736,0.09332,0.09332
14,1,10,100,0.058532,0.03386,0.001698,0.09409,0.09409
15,1,10,100,0.059072,0.038577,0.001823,0.099472,0.099472
16,1,10,100,0.058709,0.035158,0.001802,0.095669,0.095669
17,1,10,100,0.058659,0.033538,0.001742,0.093939,0.093939
18,1,10,100,0.058661,0.035325,0.001775,0.095761,0.095761
19,1,10,100,0.058716,0.035794,0.001665,0.096175,0.096175
20,1,10,100,0.058866,0.035538,0.001784,0.096188,0.096188
21,1,10,100,0.058839,0.035299,0.001672,0.09581,0.09581
22,1,10,100,0.059396,0.039453,0.001753,0.100602,0.100602
23,1,10,100,0.059219,0.037361,0.001764,0.098344,0.098344
24,1,10,100,0.059018,0.035841,0.001863,0.096722,0.096722
25,1,10,100,0.058251,0.034382,0.001798,0.094431,0.094431
26,1,10,100,0.058815,0.035358,0.001747,0.09592,0.09592
27,1,10,100,0.058735,0.034577,0.001733,0.095045,0.095045
28,1,10,100,0.058446,0.036583,0.001755,0.096784,0.096784
29,1,10,100,0.058387,0.036283,0.001674,0.096344,0.096344
30,1,10,100,0.058351,0.034663,0.001736,0.09475,0.09475
31,1,10,100,0.058479,0.034945,0.001788,0.095212,0.095212
32,1,10,100,0.058568,0.033572,0.0017,0.09384,0.09384
33,1,10,100,0.062989,0.036753,0.001823,0.101565,0.101565
34,1,10,100,0.058637,0.033915,0.001724,0.094276,0.094276
35,1,10,100,0.058507,0.033465,0.001765,0.093737,0.093737
36,1,10,100,0.058254,0.034524,0.001679,0.094457,0.094457
37,1,10,100,0.058322,0.034827,0.001721,0.09487,0.09487
38,1,10,100,0.058512,0.036888,0.001761,0.097161,0.097161
39,1,10,100,0.058653,0.036195,0.001754,0.096602,0.096602
40,1,10,100,0.058504,0.034338,0.001729,0.094571,0.094571
41,1,10,100,0.058382,0.035576,0.001745,0.095703,0.095703
42,1,10,100,0.058862,0.03566,0.001779,0.096301,0.096301
43,1,10,100,0.061815,0.033719,0.001776,0.09731,0.09731
44,1,10,100,0.058709,0.034869,0.001759,0.095337,0.095337
45,1,10,100,0.058844,0.038061,0.001709,0.098614,0.098614
46,1,10,100,0.058223,0.03505,0.001728,0.095001,0.095001
47,1,10,100,0.058371,0.035144,0.001709,0.095224,0.095224
48,1,10,100,0.058056,0.034976,0.001794,0.094826,0.094826
49,1,10,100,0.058498,0.035146,0.001807,0.095451,0.095451
50,1,10,100,0.058133,0.03517,0.001766,0.095069,0.095069
51,1,10,100,0.058625,0.035643,0.001779,0.096047,0.096047
52,1,10,100,0.058109,0.034791,0.001732,0.094632,0.094632
53,1,10,100,0.058356,0.038593,0.001735,0.098684,0.098684
54,1,10,100,0.05879,0.036539,0.001727,0.097056,0.097056
55,1,10,100,0.058552,0.036544,0.001788,0.096884,0.096884
56,1,10,100,0.058264,0.034254,0.001703,0.094221,0.094221
57,1,10,100,0.058298,0.037307,0.001711,0.097316,0.097316
58,1,10,100,0.058321,0.03734,0.001779,0.09744,0.09744
59,1,10,100,0.05838,0.035903,0.001709,0.095992,0.095992
60,1,10,100,0.058481,0.03591,0.001851,0.096242,0.096242
61,1,10,100,0.05793,0.038895,0.001753,0.098578,0.098578
62,1,10,100,0.058732,0.035045,0.001757,0.095534,0.095534
63,1,10,100,0.058539,0.036369,0.001686,0.096594,0.096594
64,1,10,100,0.060839,0.035669,0.001792,0.0983,0.0983
65,1,10,100,0.059951,0.037364,0.001833,0.099148,0.099148
66,1,10,100,0.058469,0.033743,0.001777,0.093989,0.093989
67,1,10,100,0.057949,0.036167,0.001768,0.095884,0.095884
68,1,10,100,0.058362,0.034088,0.00171,0.09416,0.09416
69,1,10,100,0.05854,0.033941,0.001657,0.094138,0.094138
70,1,10,100,0.058309,0.035137,0.001731,0.095177,0.095177
71,1,10,100,0.058526,0.034261,0.001714,0.094501,0.094501
72,1,10,100,0.05889,0.035498,0.00178,0.096168,0.096168
73,1,10,100,0.058142,0.033693,0.001692,0.093527,0.093527
74,1,10,100,0.06058,0.035773,0.001723,0.098076,0.098076
75,1,10,100,0.05873,0.059051,0.001677,0.119458,0.119458
76,1,10,100,0.058182,0.035816,0.001819,0.095817,0.095817
77,1,10,100,0.058516,0.034269,0.001785,0.09457,0.09457
78,1,10,100,0.058065,0.034205,0.001825,0.094095,0.094095
79,1,10,100,0.057982,0.035034,0.001728,0.094744,0.094744
80,1,10,100,0.058172,0.033207,0.001741,0.09312,0.09312
81,1,10,100,0.058284,0.034228,0.001693,0.094205,0.094205
82,1,10,100,0.057897,0.034199,0.001852,0.093948,0.093948
83,1,10,100,0.058039,0.032988,0.001766,0.092793,0.092793
84,1,10,100,0.058003,0.037973,0.001762,0.097738,0.097738
85,1,10,100,0.058317,0.036149,0.001768,0.096234,0.096234
86,1,10,100,0.058,0.034015,0.001867,0.093882,0.093882
87,1,10,100,0.058517,0.036347,0.001787,0.096651,0.096651
88,1,10,100,0.058143,0.034404,0.001701,0.094248,0.094248
89,1,10,100,0.057738,0.034536,0.001852,0.094126,0.094126
90,1,10,100,0.058835,0.034603,0.001772,0.09521,0.09521
91,1,10,100,0.057934,0.036097,0.001703,0.095734,0.095734
92,1,10,100,0.057929,0.034784,0.001852,0.094565,0.094565
93,1,10,100,0.058213,0.033325,0.00176,0.093298,0.093298
94,1,10,100,0.058235,0.035413,0.00192,0.095568,0.095568
95,1,10,100,0.060205,0.037376,0.001809,0.09939,0.09939
96,1,10,100,0.058238,0.033139,0.001835,0.093212,0.093212
97,1,10,100,0.057908,0.033023,0.001791,0.092722,0.092722
98,1,10,100,0.058162,0.037736,0.001818,0.097716,0.097716
99,1,10,100,0.058209,0.036037,0.001695,0.095941,0.095941
100,1,10,100,0.059733,0.036413,0.001698,0.097844,0.097844
