iteration,batch_size,warmup_iterations,measured_iterations,latency_ms,is_max
1,1,10,500,0.024227,0
2,1,10,500,0.025069,0
3,1,10,500,0.023647,0
4,1,10,500,0.023733,0
5,1,10,500,0.023811,0
6,1,10,500,0.023822,0
7,1,10,500,0.023946,0
8,1,10,500,0.024177,0
9,1,10,500,0.023879,0
10,1,10,500,0.023744,0
11,1,10,500,0.023728,0
12,1,10,500,0.024125,0
13,1,10,500,0.024468,0
14,1,10,500,0.026734,0
15,1,10,500,0.024769,0
16,1,10,500,0.024552,0
17,1,10,500,0.024721,0
18,1,10,500,0.023981,0
19,1,10,500,0.041353,0
20,1,10,500,0.038765,0
21,1,10,500,0.04145,1
22,1,10,500,0.024782,0
23,1,10,500,0.025449,0
24,1,10,500,0.025697,0
25,1,10,500,0.026325,0
26,1,10,500,0.026648,0
27,1,10,500,0.025893,0
28,1,10,500,0.026491,0
29,1,10,500,0.025861,0
30,1,10,500,0.026421,0
31,1,10,500,0.024876,0
32,1,10,500,0.027049,0
33,1,10,500,0.026889,0
34,1,10,500,0.025984,0
35,1,10,500,0.026367,0
36,1,10,500,0.026722,0
37,1,10,500,0.027427,0
38,1,10,500,0.027478,0
39,1,10,500,0.028266,0
40,1,10,500,0.028201,0
41,1,10,500,0.027589,0
42,1,10,500,0.026065,0
43,1,10,500,0.026656,0
44,1,10,500,0.026537,0
45,1,10,500,0.025602,0
46,1,10,500,0.02755,0
47,1,10,500,0.030032,0
48,1,10,500,0.030034,0
49,1,10,500,0.02733,0
50,1,10,500,0.030563,0
51,1,10,500,0.026556,0
52,1,10,500,0.025896,0
53,1,10,500,0.025285,0
54,1,10,500,0.026473,0
55,1,10,500,0.02567,0
56,1,10,500,0.025945,0
57,1,10,500,0.026506,0
58,1,10,500,0.025408,0
59,1,10,500,0.02569,0
60,1,10,500,0.025928,0
61,1,10,500,0.025668,0
62,1,10,500,0.025843,0
63,1,10,500,0.026236,0
64,1,10,500,0.026063,0
65,1,10,500,0.025537,0
66,1,10,500,0.025998,0
67,1,10,500,0.026945,0
68,1,10,500,0.026216,0
69,1,10,500,0.025733,0
70,1,10,500,0.026013,0
71,1,10,500,0.02838,0
72,1,10,500,0.025276,0
73,1,10,500,0.025035,0
74,1,10,500,0.025516,0
75,1,10,500,0.024508,0
76,1,10,500,0.025183,0
77,1,10,500,0.025252,0
78,1,10,500,0.0252,0
79,1,10,500,0.025348,0
80,1,10,500,0.024927,0
81,1,10,500,0.025411,0
82,1,10,500,0.024549,0
83,1,10,500,0.024888,0
84,1,10,500,0.024571,0
85,1,10,500,0.024881,0
86,1,10,500,0.024662,0
87,1,10,500,0.025627,0
88,1,10,500,0.025289,0
89,1,10,500,0.027468,0
90,1,10,500,0.024659,0
91,1,10,500,0.025836,0
92,1,10,500,0.024812,0
93,1,10,500,0.02495,0
94,1,10,500,0.025271,0
95,1,10,500,0.025477,0
96,1,10,500,0.024465,0
97,1,10,500,0.024625,0
98,1,10,500,0.024756,0
99,1,10,500,0.024858,0
100,1,10,500,0.025773,0
101,1,10,500,0.025691,0
102,1,10,500,0.025379,0
103,1,10,500,0.024947,0
104,1,10,500,0.027233,0
105,1,10,500,0.024001,0
106,1,10,500,0.024898,0
107,1,10,500,0.023766,0
108,1,10,500,0.02399,0
109,1,10,500,0.024496,0
110,1,10,500,0.024837,0
111,1,10,500,0.023789,0
112,1,10,500,0.024532,0
113,1,10,500,0.024514,0
114,1,10,500,0.024674,0
115,1,10,500,0.024058,0
116,1,10,500,0.025102,0
117,1,10,500,0.024522,0
118,1,10,500,0.024974,0
119,1,10,500,0.024456,0
120,1,10,500,0.024286,0
121,1,10,500,0.024483,0
122,1,10,500,0.024827,0
123,1,10,500,0.02484,0
124,1,10,500,0.02521,0
125,1,10,500,0.024606,0
126,1,10,500,0.024791,0
127,1,10,500,0.024825,0
128,1,10,500,0.024965,0
129,1,10,500,0.026218,0
130,1,10,500,0.024398,0
131,1,10,500,0.024108,0
132,1,10,500,0.025134,0
133,1,10,500,0.02508,0
134,1,10,500,0.023851,0
135,1,10,500,0.025206,0
136,1,10,500,0.024853,0
137,1,10,500,0.026908,0
138,1,10,500,0.025089,0
139,1,10,500,0.026459,0
140,1,10,500,0.025345,0
141,1,10,500,0.0249,0
142,1,10,500,0.025098,0
143,1,10,500,0.025503,0
144,1,10,500,0.02438,0
145,1,10,500,0.024191,0
146,1,10,500,0.025797,0
147,1,10,500,0.025109,0
148,1,10,500,0.025009,0
149,1,10,500,0.026829,0
150,1,10,500,0.025775,0
151,1,10,500,0.026074,0
152,1,10,500,0.024347,0
153,1,10,500,0.024843,0
154,1,10,500,0.024119,0
155,1,10,500,0.024153,0
156,1,10,500,0.024245,0
157,1,10,500,0.025161,0
158,1,10,500,0.024573,0
159,1,10,500,0.024785,0
160,1,10,500,0.024026,0
161,1,10,500,0.025039,0
162,1,10,500,0.024866,0
163,1,10,500,0.024119,0
164,1,10,500,0.024644,0
165,1,10,500,0.024789,0
166,1,10,500,0.025917,0
167,1,10,500,0.025083,0
168,1,10,500,0.026067,0
169,1,10,500,0.025536,0
170,1,10,500,0.02426,0
171,1,10,500,0.02557,0
172,1,10,500,0.026196,0
173,1,10,500,0.026952,0
174,1,10,500,0.02608,0
175,1,10,500,0.025886,0
176,1,10,500,0.02661,0
177,1,10,500,0.026853,0
178,1,10,500,0.026986,0
179,1,10,500,0.026456,0
180,1,10,500,0.026982,0
181,1,10,500,0.026636,0
182,1,10,500,0.026482,0
183,1,10,500,0.027045,0
184,1,10,500,0.027646,0
185,1,10,500,0.025919,0
186,1,10,500,0.026641,0
187,1,10,500,0.02752,0
188,1,10,500,0.027534,0
189,1,10,500,0.026202,0
190,1,10,500,0.02591,0
191,1,10,500,0.027545,0
192,1,10,500,0.027502,0
193,1,10,500,0.026088,0
194,1,10,500,0.026436,0
195,1,10,500,0.025967,0
196,1,10,500,0.027971,0
197,1,10,500,0.027413,0
198,1,10,500,0.026451,0
199,1,10,500,0.026702,0
200,1,10,500,0.026677,0
201,1,10,500,0.027091,0
202,1,10,500,0.025857,0
203,1,10,500,0.026925,0
204,1,10,500,0.025521,0
205,1,10,500,0.026254,0
206,1,10,500,0.02939,0
207,1,10,500,0.026475,0
208,1,10,500,0.026954,0
209,1,10,500,0.028049,0
210,1,10,500,0.02613,0
211,1,10,500,0.02713,0
212,1,10,500,0.027033,0
213,1,10,500,0.026571,0
214,1,10,500,0.025724,0
215,1,10,500,0.026573,0
216,1,10,500,0.026358,0
217,1,10,500,0.026849,0
218,1,10,500,0.026695,0
219,1,10,500,0.026079,0
220,1,10,500,0.026542,0
221,1,10,500,0.025778,0
222,1,10,500,0.026145,0
223,1,10,500,0.026179,0
224,1,10,500,0.026685,0
225,1,10,500,0.025989,0
226,1,10,500,0.026537,0
227,1,10,500,0.026533,0
228,1,10,500,0.027043,0
229,1,10,500,0.026091,0
230,1,10,500,0.025861,0
231,1,10,500,0.026682,0
232,1,10,500,0.025956,0
233,1,10,500,0.026922,0
234,1,10,500,0.025674,0
235,1,10,500,0.028467,0
236,1,10,500,0.026677,0
237,1,10,500,0.025881,0
238,1,10,500,0.02604,0
239,1,10,500,0.029354,0
240,1,10,500,0.027382,0
241,1,10,500,0.027075,0
242,1,10,500,0.026856,0
243,1,10,500,0.029913,0
244,1,10,500,0.028624,0
245,1,10,500,0.026889,0
246,1,10,500,0.027459,0
247,1,10,500,0.027703,0
248,1,10,500,0.027749,0
249,1,10,500,0.028634,0
250,1,10,500,0.026319,0
251,1,10,500,0.026797,0
252,1,10,500,0.026701,0
253,1,10,500,0.025945,0
254,1,10,500,0.026592,0
255,1,10,500,0.026221,0
256,1,10,500,0.027788,0
257,1,10,500,0.026309,0
258,1,10,500,0.027055,0
259,1,10,500,0.026275,0
260,1,10,500,0.027074,0
261,1,10,500,0.026759,0
262,1,10,500,0.027122,0
263,1,10,500,0.026949,0
264,1,10,500,0.026624,0
265,1,10,500,0.026699,0
266,1,10,500,0.026363,0
267,1,10,500,0.027309,0
268,1,10,500,0.026084,0
269,1,10,500,0.027298,0
270,1,10,500,0.026861,0
271,1,10,500,0.026478,0
272,1,10,500,0.025366,0
273,1,10,500,0.026918,0
