iteration,batch_size,warmup_iterations,measured_iterations,latency_ms,is_max
1,1,10,500,0.039731,0
2,1,10,500,0.038489,0
3,1,10,500,0.036506,0
4,1,10,500,0.038141,0
5,1,10,500,0.038531,0
6,1,10,500,0.038401,0
7,1,10,500,0.037604,0
8,1,10,500,0.038787,0
9,1,10,500,0.03446,0
10,1,10,500,0.036571,0
11,1,10,500,0.035838,0
12,1,10,500,0.03633,0
13,1,10,500,0.038961,0
14,1,10,500,0.036765,0
15,1,10,500,0.038589,0
16,1,10,500,0.038277,0
17,1,10,500,0.038766,0
18,1,10,500,0.038617,0
19,1,10,500,0.034812,0
20,1,10,500,0.037649,0
21,1,10,500,0.037722,0
22,1,10,500,0.03917,0
23,1,10,500,0.037738,0
24,1,10,500,0.038222,0
25,1,10,500,0.038151,0
26,1,10,500,0.065469,0
27,1,10,500,0.03951,0
28,1,10,500,0.040561,0
29,1,10,500,0.037551,0
30,1,10,500,0.038162,0
31,1,10,500,0.037423,0
32,1,10,500,0.038931,0
33,1,10,500,0.03697,0
34,1,10,500,0.04001,0
35,1,10,500,0.039533,0
36,1,10,500,0.041931,0
37,1,10,500,0.041826,0
38,1,10,500,0.037192,0
39,1,10,500,0.04103,0
40,1,10,500,0.040711,0
41,1,10,500,0.042264,0
42,1,10,500,0.043037,0
43,1,10,500,0.040535,0
44,1,10,500,0.040713,0
45,1,10,500,0.040176,0
46,1,10,500,0.041466,0
47,1,10,500,0.042495,0
48,1,10,500,0.039789,0
49,1,10,500,0.042005,0
50,1,10,500,0.047467,0
51,1,10,500,0.044614,0
52,1,10,500,0.042083,0
53,1,10,500,0.037141,0
54,1,10,500,0.03924,0
55,1,10,500,0.039588,0
56,1,10,500,0.040964,0
57,1,10,500,0.037641,0
58,1,10,500,0.042765,0
59,1,10,500,0.041959,0
60,1,10,500,0.037591,0
61,1,10,500,0.037193,0
62,1,10,500,0.037535,0
63,1,10,500,0.040141,0
64,1,10,500,0.039456,0
65,1,10,500,0.040741,0
66,1,10,500,0.04171,0
67,1,10,500,0.037605,0
68,1,10,500,0.039161,0
69,1,10,500,0.040149,0
70,1,10,500,0.041898,0
71,1,10,500,0.039904,0
72,1,10,500,0.041412,0
73,1,10,500,0.037798,0
74,1,10,500,0.038503,0
75,1,10,500,0.041813,0
