iteration,batch_size,warmup_iterations,measured_iterations,latency_ms,is_max
1,1,10,500,0.037005,0
2,1,10,500,0.037114,0
3,1,10,500,0.036782,0
4,1,10,500,0.038593,0
5,1,10,500,0.038367,0
6,1,10,500,0.038537,0
7,1,10,500,0.039328,0
8,1,10,500,0.036867,0
9,1,10,500,0.036627,0
10,1,10,500,0.037074,0
11,1,10,500,0.037413,0
12,1,10,500,0.036522,0
13,1,10,500,0.036175,0
14,1,10,500,0.037314,0
15,1,10,500,0.036749,0
16,1,10,500,0.03659,0
17,1,10,500,0.037067,0
18,1,10,500,0.036502,0
19,1,10,500,0.038866,0
20,1,10,500,0.036208,0
21,1,10,500,0.039162,0
22,1,10,500,0.037731,0
23,1,10,500,0.037751,0
24,1,10,500,0.037158,0
25,1,10,500,0.037774,0
26,1,10,500,0.036217,0
27,1,10,500,0.037253,0
28,1,10,500,0.036929,0
29,1,10,500,0.037429,0
30,1,10,500,0.036179,0
31,1,10,500,0.037016,0
32,1,10,500,0.03669,0
33,1,10,500,0.036759,0
34,1,10,500,0.03664,0
35,1,10,500,0.036699,0
36,1,10,500,0.036843,0
37,1,10,500,0.037722,0
38,1,10,500,0.036753,0
39,1,10,500,0.036988,0
40,1,10,500,0.036476,0
41,1,10,500,0.035686,0
42,1,10,500,0.036717,0
43,1,10,500,0.03738,0
44,1,10,500,0.038035,0
45,1,10,500,0.037437,0
46,1,10,500,0.039594,0
47,1,10,500,0.037316,0
48,1,10,500,0.04016,0
49,1,10,500,0.038151,0
50,1,10,500,0.037208,0
51,1,10,500,0.038267,0
52,1,10,500,0.037076,0
53,1,10,500,0.037961,0
54,1,10,500,0.039805,0
55,1,10,500,0.037974,0
56,1,10,500,0.036194,0
57,1,10,500,0.036763,0
58,1,10,500,0.036813,0
59,1,10,500,0.036975,0
60,1,10,500,0.037056,0
61,1,10,500,0.037742,0
62,1,10,500,0.037952,0
63,1,10,500,0.037679,0
64,1,10,500,0.036878,0
65,1,10,500,0.038332,0
66,1,10,500,0.036843,0
67,1,10,500,0.035398,0
68,1,10,500,0.037605,0
69,1,10,500,0.03541,0
70,1,10,500,0.035368,0
71,1,10,500,0.035908,0
72,1,10,500,0.03844,0
73,1,10,500,0.039129,0
74,1,10,500,0.039549,0
75,1,10,500,0.041449,0
76,1,10,500,0.038086,0
77,1,10,500,0.038588,0
78,1,10,500,0.035463,0
79,1,10,500,0.035668,0
80,1,10,500,0.035011,0
81,1,10,500,0.034567,0
82,1,10,500,0.034904,0
83,1,10,500,0.03446,0
84,1,10,500,0.035672,0
85,1,10,500,0.03567,0
86,1,10,500,0.035085,0
87,1,10,500,0.034716,0
88,1,10,500,0.034993,0
89,1,10,500,0.035319,0
90,1,10,500,0.03448,0
91,1,10,500,0.035298,0
92,1,10,500,0.03418,0
93,1,10,500,0.035661,0
94,1,10,500,0.035701,0
95,1,10,500,0.035713,0
96,1,10,500,0.034615,0
97,1,10,500,0.034968,0
98,1,10,500,0.035403,0
99,1,10,500,0.035226,0
100,1,10,500,0.035117,0
101,1,10,500,0.035101,0
102,1,10,500,0.035968,0
103,1,10,500,0.040978,0
104,1,10,500,0.036635,0
105,1,10,500,0.036828,0
106,1,10,500,0.037097,0
107,1,10,500,0.03835,0
108,1,10,500,0.038258,0
109,1,10,500,0.0345,0
110,1,10,500,0.034367,0
111,1,10,500,0.035051,0
112,1,10,500,0.03453,0
113,1,10,500,0.034098,0
114,1,10,500,0.034951,0
115,1,10,500,0.035115,0
116,1,10,500,0.03451,0
117,1,10,500,0.034077,0
118,1,10,500,0.035212,0
119,1,10,500,0.034653,0
120,1,10,500,0.033562,0
121,1,10,500,0.035439,0
122,1,10,500,0.035986,0
123,1,10,500,0.042569,0
124,1,10,500,0.048024,0
125,1,10,500,0.038212,0
126,1,10,500,0.039459,0
127,1,10,500,0.039102,0
128,1,10,500,0.03508,0
129,1,10,500,0.034335,0
130,1,10,500,0.037785,0
131,1,10,500,0.036786,0
132,1,10,500,0.036931,0
133,1,10,500,0.035055,0
134,1,10,500,0.037271,0
135,1,10,500,0.034383,0
136,1,10,500,0.034966,0
137,1,10,500,0.035384,0
