iteration,batch_size,warmup_iterations,measured_iterations,latency_ms,is_max
1,1,10,500,0.032025,0
2,1,10,500,0.03205,0
3,1,10,500,0.031709,0
4,1,10,500,0.032075,0
5,1,10,500,0.03196,0
6,1,10,500,0.031772,0
7,1,10,500,0.031803,0
8,1,10,500,0.032333,0
9,1,10,500,0.030911,0
10,1,10,500,0.031906,0
11,1,10,500,0.032226,0
12,1,10,500,0.03123,0
13,1,10,500,0.031548,0
14,1,10,500,0.031786,0
15,1,10,500,0.031114,0
16,1,10,500,0.035004,0
17,1,10,500,0.032095,0
18,1,10,500,0.032122,0
19,1,10,500,0.033149,0
20,1,10,500,0.03335,0
21,1,10,500,0.032227,0
22,1,10,500,0.031869,0
23,1,10,500,0.03128,0
24,1,10,500,0.035215,0
25,1,10,500,0.032032,0
26,1,10,500,0.031258,0
27,1,10,500,0.031229,0
28,1,10,500,0.031159,0
29,1,10,500,0.03153,0
30,1,10,500,0.031576,0
31,1,10,500,0.031384,0
32,1,10,500,0.031471,0
33,1,10,500,0.031926,0
34,1,10,500,0.030962,0
35,1,10,500,0.032318,0
36,1,10,500,0.030657,0
37,1,10,500,0.031955,0
38,1,10,500,0.031235,0
39,1,10,500,0.031584,0
40,1,10,500,0.03141,0
41,1,10,500,0.031631,0
42,1,10,500,0.031159,0
43,1,10,500,0.030975,0
44,1,10,500,0.034432,0
45,1,10,500,0.032413,0
46,1,10,500,0.031328,0
47,1,10,500,0.031255,0
48,1,10,500,0.033245,0
49,1,10,500,0.032882,0
50,1,10,500,0.031565,0
51,1,10,500,0.031972,0
52,1,10,500,0.03197,0
53,1,10,500,0.032341,0
54,1,10,500,0.030863,0
55,1,10,500,0.036505,0
56,1,10,500,0.03226,0
57,1,10,500,0.03191,0
58,1,10,500,0.031579,0
59,1,10,500,0.033004,0
60,1,10,500,0.032246,0
61,1,10,500,0.031765,0
62,1,10,500,0.03109,0
63,1,10,500,0.03177,0
64,1,10,500,0.03307,0
65,1,10,500,0.032933,0
66,1,10,500,0.032465,0
67,1,10,500,0.033138,0
68,1,10,500,0.031767,0
69,1,10,500,0.031997,0
70,1,10,500,0.033595,0
71,1,10,500,0.031921,0
72,1,10,500,0.031436,0
73,1,10,500,0.031812,0
74,1,10,500,0.031895,0
75,1,10,500,0.031609,0
76,1,10,500,0.031382,0
77,1,10,500,0.031906,0
78,1,10,500,0.031881,0
79,1,10,500,0.031651,0
80,1,10,500,0.031591,0
81,1,10,500,0.032608,0
82,1,10,500,0.031338,0
83,1,10,500,0.031344,0
84,1,10,500,0.03148,0
85,1,10,500,0.031218,0
86,1,10,500,0.035766,0
87,1,10,500,0.032508,0
88,1,10,500,0.031747,0
89,1,10,500,0.031751,0
90,1,10,500,0.031854,0
91,1,10,500,0.031803,0
92,1,10,500,0.031467,0
93,1,10,500,0.031898,0
94,1,10,500,0.031976,0
95,1,10,500,0.031394,0
96,1,10,500,0.031902,0
97,1,10,500,0.030832,0
98,1,10,500,0.031869,0
99,1,10,500,0.031798,0
100,1,10,500,0.030832,0
101,1,10,500,0.03218,0
102,1,10,500,0.032591,0
103,1,10,500,0.032839,0
104,1,10,500,0.033085,0
105,1,10,500,0.034068,0
106,1,10,500,0.03251,0
107,1,10,500,0.036188,0
108,1,10,500,0.032132,0
109,1,10,500,0.033655,0
110,1,10,500,0.035415,0
111,1,10,500,0.034504,0
112,1,10,500,0.031595,0
113,1,10,500,0.031845,0
114,1,10,500,0.034662,0
115,1,10,500,0.040297,0
116,1,10,500,0.036762,0
117,1,10,500,0.033193,0
118,1,10,500,0.032774,0
119,1,10,500,0.032317,0
120,1,10,500,0.031177,0
121,1,10,500,0.031139,0
122,1,10,500,0.032017,0
123,1,10,500,0.030908,0
124,1,10,500,0.031418,0
125,1,10,500,0.032284,0
126,1,10,500,0.031466,0
127,1,10,500,0.031833,0
128,1,10,500,0.031522,0
129,1,10,500,0.031719,0
130,1,10,500,0.032298,0
131,1,10,500,0.032117,0
132,1,10,500,0.032325,0
133,1,10,500,0.03072,0
134,1,10,500,0.032056,0
135,1,10,500,0.031236,0
136,1,10,500,0.031424,0
137,1,10,500,0.031219,0
138,1,10,500,0.030505,0
139,1,10,500,0.031367,0
140,1,10,500,0.030811,0
141,1,10,500,0.03172,0
142,1,10,500,0.031894,0
143,1,10,500,0.031871,0
144,1,10,500,0.030566,0
145,1,10,500,0.031954,0
146,1,10,500,0.032332,0
147,1,10,500,0.031908,0
148,1,10,500,0.033266,0
149,1,10,500,0.031859,0
150,1,10,500,0.032669,0
151,1,10,500,0.032736,0
152,1,10,500,0.031466,0
153,1,10,500,0.032094,0
154,1,10,500,0.031536,0
155,1,10,500,0.032128,0
156,1,10,500,0.032217,0
157,1,10,500,0.031664,0
158,1,10,500,0.035537,0
159,1,10,500,0.032241,0
160,1,10,500,0.031855,0
161,1,10,500,0.032035,0
162,1,10,500,0.033217,0
163,1,10,500,0.031661,0
164,1,10,500,0.03147,0
165,1,10,500,0.030682,0
166,1,10,500,0.031041,0
167,1,10,500,0.031504,0
168,1,10,500,0.031577,0
169,1,10,500,0.032423,0
170,1,10,500,0.033058,0
171,1,10,500,0.031738,0
172,1,10,500,0.031599,0
173,1,10,500,0.031372,0
174,1,10,500,0.031104,0
175,1,10,500,0.031201,0
176,1,10,500,0.031135,0
177,1,10,500,0.031533,0
178,1,10,500,0.031261,0
179,1,10,500,0.034197,0
180,1,10,500,0.032197,0
181,1,10,500,0.031327,0
182,1,10,500,0.03062,0
183,1,10,500,0.031605,0
184,1,10,500,0.031591,0
185,1,10,500,0.03221,0
186,1,10,500,0.031622,0
187,1,10,500,0.032354,0
188,1,10,500,0.031613,0
189,1,10,500,0.031332,0
190,1,10,500,0.031132,0
191,1,10,500,0.030971,0
192,1,10,500,0.031472,0
193,1,10,500,0.036086,0
194,1,10,500,0.031408,0
195,1,10,500,0.032024,0
196,1,10,500,0.033495,0
197,1,10,500,0.033256,0
198,1,10,500,0.031348,0
199,1,10,500,0.031708,0
200,1,10,500,0.031266,0
201,1,10,500,0.031116,0
202,1,10,500,0.031376,0
203,1,10,500,0.033114,0
204,1,10,500,0.03222,0
205,1,10,500,0.032694,0
206,1,10,500,0.031865,0
207,1,10,500,0.031814,0
208,1,10,500,0.032396,0
209,1,10,500,0.033351,0
210,1,10,500,0.03589,0
211,1,10,500,0.032212,0
212,1,10,500,0.031151,0
213,1,10,500,0.031255,0
214,1,10,500,0.03176,0
215,1,10,500,0.030976,0
216,1,10,500,0.031408,0
217,1,10,500,0.031226,0
218,1,10,500,0.031752,0
219,1,10,500,0.031487,0
220,1,10,500,0.031614,0
221,1,10,500,0.031438,0
222,1,10,500,0.030775,0
223,1,10,500,0.034493,0
224,1,10,500,0.032158,0
225,1,10,500,0.031353,0
226,1,10,500,0.031447,0
227,1,10,500,0.031422,0
228,1,10,500,0.032475,0
229,1,10,500,0.0318,0
230,1,10,500,0.0409,1
231,1,10,500,0.032407,0
232,1,10,500,0.031718,0
233,1,10,500,0.031284,0
234,1,10,500,0.031658,0
235,1,10,500,0.034513,0
236,1,10,500,0.034885,0
237,1,10,500,0.033894,0
238,1,10,500,0.033654,0
239,1,10,500,0.033798,0
