iteration,batch_size,warmup_iterations,measured_iterations,latency_ms,is_max
1,1,1000,2000,0.024613,0
2,1,1000,2000,0.024402,0
3,1,1000,2000,0.024743,0
4,1,1000,2000,0.02443,0
5,1,1000,2000,0.023974,0
6,1,1000,2000,0.024175,0
7,1,1000,2000,0.024342,0
8,1,1000,2000,0.029163,0
9,1,1000,2000,0.042044,0
10,1,1000,2000,0.024842,0
11,1,1000,2000,0.025131,0
12,1,1000,2000,0.025774,0
13,1,1000,2000,0.025913,0
14,1,1000,2000,0.026475,0
15,1,1000,2000,0.02537,0
16,1,1000,2000,0.024888,0
17,1,1000,2000,0.025153,0
18,1,1000,2000,0.024231,0
19,1,1000,2000,0.026431,0
20,1,1000,2000,0.024948,0
21,1,1000,2000,0.024585,0
22,1,1000,2000,0.024674,0
23,1,1000,2000,0.025255,0
24,1,1000,2000,0.023896,0
25,1,1000,2000,0.024115,0
26,1,1000,2000,0.023848,0
27,1,1000,2000,0.024292,0
28,1,1000,2000,0.02421,0
29,1,1000,2000,0.024507,0
30,1,1000,2000,0.024428,0
31,1,1000,2000,0.024646,0
32,1,1000,2000,0.023557,0
33,1,1000,2000,0.024806,0
34,1,1000,2000,0.023854,0
35,1,1000,2000,0.024437,0
36,1,1000,2000,0.024155,0
37,1,1000,2000,0.025134,0
38,1,1000,2000,0.027204,0
39,1,1000,2000,0.024396,0
40,1,1000,2000,0.024011,0
41,1,1000,2000,0.024542,0
42,1,1000,2000,0.023861,0
43,1,1000,2000,0.024703,0
44,1,1000,2000,0.024429,0
45,1,1000,2000,0.027274,0
46,1,1000,2000,0.027228,0
47,1,1000,2000,0.025603,0
48,1,1000,2000,0.02517,0
49,1,1000,2000,0.026036,0
50,1,1000,2000,0.026324,0
51,1,1000,2000,0.025765,0
52,1,1000,2000,0.024966,0
53,1,1000,2000,0.025484,0
54,1,1000,2000,0.025067,0
55,1,1000,2000,0.024354,0
56,1,1000,2000,0.026559,0
57,1,1000,2000,0.024444,0
58,1,1000,2000,0.024037,0
59,1,1000,2000,0.024526,0
60,1,1000,2000,0.024396,0
61,1,1000,2000,0.024912,0
62,1,1000,2000,0.024226,0
63,1,1000,2000,0.024381,0
64,1,1000,2000,0.02405,0
65,1,1000,2000,0.023357,0
66,1,1000,2000,0.023825,0
67,1,1000,2000,0.024699,0
68,1,1000,2000,0.025367,0
69,1,1000,2000,0.024978,0
70,1,1000,2000,0.023634,0
71,1,1000,2000,0.023911,0
72,1,1000,2000,0.024566,0
73,1,1000,2000,0.024577,0
74,1,1000,2000,0.024301,0
75,1,1000,2000,0.024373,0
76,1,1000,2000,0.024074,0
77,1,1000,2000,0.024624,0
78,1,1000,2000,0.028232,0
79,1,1000,2000,0.024507,0
80,1,1000,2000,0.030436,0
81,1,1000,2000,0.025225,0
82,1,1000,2000,0.024972,0
83,1,1000,2000,0.025593,0
84,1,1000,2000,0.025199,0
85,1,1000,2000,0.025217,0
86,1,1000,2000,0.025471,0
87,1,1000,2000,0.026297,0
88,1,1000,2000,0.026091,0
89,1,1000,2000,0.024752,0
90,1,1000,2000,0.024123,0
91,1,1000,2000,0.024885,0
92,1,1000,2000,0.024543,0
93,1,1000,2000,0.02441,0
94,1,1000,2000,0.024216,0
95,1,1000,2000,0.02453,0
96,1,1000,2000,0.024897,0
97,1,1000,2000,0.025924,0
98,1,1000,2000,0.025815,0
99,1,1000,2000,0.025704,0
100,1,1000,2000,0.025037,0
101,1,1000,2000,0.024699,0
102,1,1000,2000,0.025006,0
103,1,1000,2000,0.023481,0
104,1,1000,2000,0.026621,0
105,1,1000,2000,0.024084,0
106,1,1000,2000,0.024451,0
107,1,1000,2000,0.025095,0
108,1,1000,2000,0.024904,0
109,1,1000,2000,0.025199,0
110,1,1000,2000,0.0245,0
111,1,1000,2000,0.024331,0
112,1,1000,2000,0.024576,0
113,1,1000,2000,0.024074,0
114,1,1000,2000,0.023979,0
115,1,1000,2000,0.024091,0
116,1,1000,2000,0.023574,0
117,1,1000,2000,0.024163,0
118,1,1000,2000,0.031289,0
119,1,1000,2000,0.027102,0
120,1,1000,2000,0.025068,0
121,1,1000,2000,0.025169,0
122,1,1000,2000,0.026053,0
123,1,1000,2000,0.02637,0
124,1,1000,2000,0.024611,0
125,1,1000,2000,0.025069,0
126,1,1000,2000,0.025139,0
127,1,1000,2000,0.024605,0
128,1,1000,2000,0.024815,0
129,1,1000,2000,0.02395,0
130,1,1000,2000,0.025286,0
131,1,1000,2000,0.023744,0
132,1,1000,2000,0.023764,0
133,1,1000,2000,0.024378,0
134,1,1000,2000,0.024273,0
135,1,1000,2000,0.02499,0
136,1,1000,2000,0.024565,0
137,1,1000,2000,0.025515,0
138,1,1000,2000,0.025297,0
139,1,1000,2000,0.025963,0
140,1,1000,2000,0.025392,0
141,1,1000,2000,0.025181,0
142,1,1000,2000,0.025088,0
143,1,1000,2000,0.024674,0
144,1,1000,2000,0.024383,0
145,1,1000,2000,0.024696,0
146,1,1000,2000,0.027658,0
147,1,1000,2000,0.024203,0
148,1,1000,2000,0.024903,0
149,1,1000,2000,0.024781,0
150,1,1000,2000,0.026052,0
151,1,1000,2000,0.024838,0
152,1,1000,2000,0.024967,0
153,1,1000,2000,0.024313,0
154,1,1000,2000,0.025169,0
155,1,1000,2000,0.032703,0
156,1,1000,2000,0.024435,0
157,1,1000,2000,0.027938,0
