iteration,batch_size,warmup_iterations,measured_iterations,latency_ms,is_max
1,1,1000,2000,0.040542,0
2,1,1000,2000,0.0403,0
3,1,1000,2000,0.04109,0
4,1,1000,2000,0.040047,0
5,1,1000,2000,0.039536,0
6,1,1000,2000,0.042322,0
7,1,1000,2000,0.04174,0
8,1,1000,2000,0.0395,0
9,1,1000,2000,0.039209,0
10,1,1000,2000,0.038811,0
11,1,1000,2000,0.039991,0
12,1,1000,2000,0.040849,0
13,1,1000,2000,0.041561,0
14,1,1000,2000,0.045911,0
15,1,1000,2000,0.041724,0
16,1,1000,2000,0.04345,0
17,1,1000,2000,0.042615,0
18,1,1000,2000,0.039368,0
19,1,1000,2000,0.040781,0
20,1,1000,2000,0.039284,0
21,1,1000,2000,0.039573,0
22,1,1000,2000,0.038672,0
23,1,1000,2000,0.038883,0
24,1,1000,2000,0.039041,0
25,1,1000,2000,0.039609,0
26,1,1000,2000,0.039395,0
27,1,1000,2000,0.039742,0
28,1,1000,2000,0.039644,0
29,1,1000,2000,0.04038,0
30,1,1000,2000,0.039836,0
31,1,1000,2000,0.042808,0
32,1,1000,2000,0.044818,0
33,1,1000,2000,0.041465,0
34,1,1000,2000,0.041975,0
35,1,1000,2000,0.04127,0
36,1,1000,2000,0.040308,0
37,1,1000,2000,0.040239,0
38,1,1000,2000,0.040164,0
39,1,1000,2000,0.039403,0
40,1,1000,2000,0.040656,0
41,1,1000,2000,0.040293,0
42,1,1000,2000,0.043984,0
43,1,1000,2000,0.040835,0
44,1,1000,2000,0.040886,0
45,1,1000,2000,0.041948,0
46,1,1000,2000,0.042275,0
47,1,1000,2000,0.041273,0
48,1,1000,2000,0.040871,0
49,1,1000,2000,0.040831,0
50,1,1000,2000,0.041331,0
51,1,1000,2000,0.040619,0
52,1,1000,2000,0.040685,0
53,1,1000,2000,0.040526,0
54,1,1000,2000,0.040512,0
55,1,1000,2000,0.039629,0
56,1,1000,2000,0.043527,0
57,1,1000,2000,0.042651,0
58,1,1000,2000,0.040056,0
59,1,1000,2000,0.039964,0
60,1,1000,2000,0.038563,0
61,1,1000,2000,0.040083,0
62,1,1000,2000,0.040164,0
63,1,1000,2000,0.040156,0
64,1,1000,2000,0.040048,0
65,1,1000,2000,0.040895,0
66,1,1000,2000,0.039842,0
67,1,1000,2000,0.041723,0
68,1,1000,2000,0.044025,0
69,1,1000,2000,0.043853,0
70,1,1000,2000,0.040559,0
71,1,1000,2000,0.041171,0
72,1,1000,2000,0.040733,0
73,1,1000,2000,0.046491,0
74,1,1000,2000,0.041207,0
75,1,1000,2000,0.043607,0
76,1,1000,2000,0.041273,0
77,1,1000,2000,0.040532,0
78,1,1000,2000,0.039897,0
79,1,1000,2000,0.04027,0
80,1,1000,2000,0.042671,0
81,1,1000,2000,0.044383,0
82,1,1000,2000,0.041434,0
83,1,1000,2000,0.040851,0
84,1,1000,2000,0.040396,0
85,1,1000,2000,0.042066,0
86,1,1000,2000,0.039546,0
87,1,1000,2000,0.039359,0
88,1,1000,2000,0.040269,0
89,1,1000,2000,0.040495,0
90,1,1000,2000,0.039719,0
91,1,1000,2000,0.040053,0
92,1,1000,2000,0.04068,0
93,1,1000,2000,0.040377,0
94,1,1000,2000,0.040893,0
95,1,1000,2000,0.045173,0
96,1,1000,2000,0.040399,0
97,1,1000,2000,0.040277,0
98,1,1000,2000,0.040544,0
99,1,1000,2000,0.04087,0
100,1,1000,2000,0.040094,0
101,1,1000,2000,0.039913,0
102,1,1000,2000,0.039829,0
103,1,1000,2000,0.039283,0
104,1,1000,2000,0.039688,0
105,1,1000,2000,0.042339,0
106,1,1000,2000,0.041595,0
107,1,1000,2000,0.04063,0
108,1,1000,2000,0.039931,0
109,1,1000,2000,0.040297,0
110,1,1000,2000,0.041504,0
111,1,1000,2000,0.041215,0
112,1,1000,2000,0.042585,0
113,1,1000,2000,0.046165,0
114,1,1000,2000,0.047493,0
115,1,1000,2000,0.042283,0
116,1,1000,2000,0.042,0
117,1,1000,2000,0.041392,0
118,1,1000,2000,0.041926,0
119,1,1000,2000,0.040619,0
120,1,1000,2000,0.040503,0
121,1,1000,2000,0.041608,0
122,1,1000,2000,0.04754,0
123,1,1000,2000,0.043939,0
124,1,1000,2000,0.044934,0
125,1,1000,2000,0.043706,0
126,1,1000,2000,0.043391,0
127,1,1000,2000,0.043744,0
128,1,1000,2000,0.043854,0
129,1,1000,2000,0.044578,0
130,1,1000,2000,0.043447,0
131,1,1000,2000,0.048191,0
132,1,1000,2000,0.044451,0
133,1,1000,2000,0.04188,0
134,1,1000,2000,0.040361,0
135,1,1000,2000,0.040485,0
136,1,1000,2000,0.041845,0
137,1,1000,2000,0.042475,0
138,1,1000,2000,0.041992,0
139,1,1000,2000,0.041077,0
140,1,1000,2000,0.040034,0
141,1,1000,2000,0.039544,0
142,1,1000,2000,0.039652,0
143,1,1000,2000,0.039339,0
144,1,1000,2000,0.040802,0
145,1,1000,2000,0.040324,0
146,1,1000,2000,0.040952,0
147,1,1000,2000,0.04024,0
148,1,1000,2000,0.040321,0
149,1,1000,2000,0.039931,0
150,1,1000,2000,0.039453,0
151,1,1000,2000,0.04127,0
152,1,1000,2000,0.042829,0
153,1,1000,2000,0.041031,0
154,1,1000,2000,0.040442,0
155,1,1000,2000,0.039674,0
156,1,1000,2000,0.039966,0
157,1,1000,2000,0.040181,0
158,1,1000,2000,0.040568,0
159,1,1000,2000,0.040319,0
160,1,1000,2000,0.039116,0
161,1,1000,2000,0.03915,0
162,1,1000,2000,0.039236,0
163,1,1000,2000,0.040277,0
164,1,1000,2000,0.041153,0
165,1,1000,2000,0.04035,0
166,1,1000,2000,0.040526,0
167,1,1000,2000,0.039852,0
168,1,1000,2000,0.0405,0
169,1,1000,2000,0.040738,0
170,1,1000,2000,0.039665,0
171,1,1000,2000,0.040578,0
172,1,1000,2000,0.040152,0
173,1,1000,2000,0.040678,0
174,1,1000,2000,0.040927,0
175,1,1000,2000,0.040011,0
176,1,1000,2000,0.039559,0
177,1,1000,2000,0.043157,0
178,1,1000,2000,0.04166,0
179,1,1000,2000,0.040313,0
180,1,1000,2000,0.03941,0
181,1,1000,2000,0.039177,0
182,1,1000,2000,0.039389,0
183,1,1000,2000,0.039817,0
184,1,1000,2000,0.039862,0
185,1,1000,2000,0.040174,0
186,1,1000,2000,0.03921,0
187,1,1000,2000,0.039911,0
188,1,1000,2000,0.039569,0
189,1,1000,2000,0.038963,0
190,1,1000,2000,0.040606,0
191,1,1000,2000,0.040668,0
192,1,1000,2000,0.040124,0
193,1,1000,2000,0.041786,0
194,1,1000,2000,0.040455,0
195,1,1000,2000,0.040092,0
196,1,1000,2000,0.039362,0
197,1,1000,2000,0.03955,0
198,1,1000,2000,0.039873,0
199,1,1000,2000,0.03979,0
200,1,1000,2000,0.039182,0
201,1,1000,2000,0.040025,0
202,1,1000,2000,0.043407,0
203,1,1000,2000,0.040882,0
204,1,1000,2000,0.041488,0
205,1,1000,2000,0.042624,0
206,1,1000,2000,0.042113,0
207,1,1000,2000,0.041684,0
208,1,1000,2000,0.042892,0
209,1,1000,2000,0.040465,0
210,1,1000,2000,0.040368,0
211,1,1000,2000,0.040622,0
212,1,1000,2000,0.040122,0
213,1,1000,2000,0.041055,0
214,1,1000,2000,0.040078,0
215,1,1000,2000,0.039454,0
216,1,1000,2000,0.040308,0
217,1,1000,2000,0.040375,0
218,1,1000,2000,0.040412,0
219,1,1000,2000,0.040356,0
220,1,1000,2000,0.040191,0
221,1,1000,2000,0.040116,0
222,1,1000,2000,0.039397,0
223,1,1000,2000,0.040802,0
224,1,1000,2000,0.039401,0
225,1,1000,2000,0.03909,0
226,1,1000,2000,0.043792,0
227,1,1000,2000,0.042173,0
228,1,1000,2000,0.040794,0
229,1,1000,2000,0.040424,0
230,1,1000,2000,0.040435,0
231,1,1000,2000,0.041832,0
232,1,1000,2000,0.040883,0
233,1,1000,2000,0.040923,0
234,1,1000,2000,0.041389,0
235,1,1000,2000,0.04081,0
236,1,1000,2000,0.041323,0
237,1,1000,2000,0.048171,0
238,1,1000,2000,0.040794,0
239,1,1000,2000,0.040746,0
240,1,1000,2000,0.040234,0
241,1,1000,2000,0.04044,0
242,1,1000,2000,0.040836,0
243,1,1000,2000,0.040503,0
244,1,1000,2000,0.041227,0
245,1,1000,2000,0.041767,0
246,1,1000,2000,0.042263,0
247,1,1000,2000,0.041607,0
248,1,1000,2000,0.040573,0
249,1,1000,2000,0.040564,0
250,1,1000,2000,0.043866,0
251,1,1000,2000,0.042404,0
252,1,1000,2000,0.040081,0
253,1,1000,2000,0.04086,0
254,1,1000,2000,0.040828,0
255,1,1000,2000,0.046704,0
256,1,1000,2000,0.04216,0
257,1,1000,2000,0.044311,0
258,1,1000,2000,0.043242,0
259,1,1000,2000,0.041413,0
260,1,1000,2000,0.040974,0
261,1,1000,2000,0.039996,0
262,1,1000,2000,0.040724,0
263,1,1000,2000,0.042994,0
264,1,1000,2000,0.041612,0
265,1,1000,2000,0.041746,0
