iteration,batch_size,warmup_iterations,measured_iterations,latency_ms,is_max
1,1,1000,2000,0.042565,0
2,1,1000,2000,0.042654,0
3,1,1000,2000,0.043633,0
4,1,1000,2000,0.045302,0
5,1,1000,2000,0.048375,0
6,1,1000,2000,0.044443,0
7,1,1000,2000,0.044553,0
8,1,1000,2000,0.043792,0
9,1,1000,2000,0.04445,0
10,1,1000,2000,0.045611,0
11,1,1000,2000,0.044787,0
12,1,1000,2000,0.046499,0
13,1,1000,2000,0.04341,0
14,1,1000,2000,0.045378,0
15,1,1000,2000,0.045223,0
16,1,1000,2000,0.049508,0
17,1,1000,2000,0.04679,0
18,1,1000,2000,0.043388,0
19,1,1000,2000,0.043259,0
20,1,1000,2000,0.043063,0
21,1,1000,2000,0.043273,0
22,1,1000,2000,0.041345,0
23,1,1000,2000,0.042993,0
24,1,1000,2000,0.045851,0
25,1,1000,2000,0.045066,0
26,1,1000,2000,0.044517,0
27,1,1000,2000,0.046185,0
28,1,1000,2000,0.044575,0
29,1,1000,2000,0.045065,0
30,1,1000,2000,0.044633,0
31,1,1000,2000,0.045256,0
32,1,1000,2000,0.045087,0
33,1,1000,2000,0.045937,0
34,1,1000,2000,0.045955,0
35,1,1000,2000,0.044982,0
36,1,1000,2000,0.044392,0
37,1,1000,2000,0.044107,0
38,1,1000,2000,0.043932,0
39,1,1000,2000,0.048486,0
40,1,1000,2000,0.042733,0
41,1,1000,2000,0.042542,0
42,1,1000,2000,0.042991,0
43,1,1000,2000,0.042495,0
44,1,1000,2000,0.043153,0
45,1,1000,2000,0.043269,0
46,1,1000,2000,0.043199,0
47,1,1000,2000,0.042938,0
48,1,1000,2000,0.042927,0
49,1,1000,2000,0.042687,0
50,1,1000,2000,0.043877,0
51,1,1000,2000,0.041954,0
52,1,1000,2000,0.043199,0
53,1,1000,2000,0.042732,0
54,1,1000,2000,0.04213,0
55,1,1000,2000,0.043315,0
56,1,1000,2000,0.042985,0
57,1,1000,2000,0.046785,0
58,1,1000,2000,0.046526,0
59,1,1000,2000,0.046924,0
60,1,1000,2000,0.048479,0
61,1,1000,2000,0.04948,0
62,1,1000,2000,0.048827,0
63,1,1000,2000,0.045002,0
64,1,1000,2000,0.042204,0
65,1,1000,2000,0.043351,0
66,1,1000,2000,0.042192,0
67,1,1000,2000,0.043165,0
68,1,1000,2000,0.042031,0
69,1,1000,2000,0.045292,0
70,1,1000,2000,0.044591,0
71,1,1000,2000,0.045351,0
72,1,1000,2000,0.044371,0
73,1,1000,2000,0.044357,0
74,1,1000,2000,0.045036,0
75,1,1000,2000,0.043738,0
76,1,1000,2000,0.043857,0
77,1,1000,2000,0.044216,0
78,1,1000,2000,0.056025,0
79,1,1000,2000,0.044628,0
80,1,1000,2000,0.04558,0
81,1,1000,2000,0.042569,0
82,1,1000,2000,0.042986,0
83,1,1000,2000,0.047677,0
84,1,1000,2000,0.050769,0
85,1,1000,2000,0.043406,0
86,1,1000,2000,0.042363,0
87,1,1000,2000,0.043045,0
88,1,1000,2000,0.042551,0
89,1,1000,2000,0.041801,0
90,1,1000,2000,0.043237,0
91,1,1000,2000,0.043638,0
92,1,1000,2000,0.042976,0
93,1,1000,2000,0.049425,0
94,1,1000,2000,0.044528,0
95,1,1000,2000,0.042722,0
96,1,1000,2000,0.042507,0
97,1,1000,2000,0.041534,0
98,1,1000,2000,0.042497,0
99,1,1000,2000,0.042088,0
100,1,1000,2000,0.042082,0
101,1,1000,2000,0.052302,0
102,1,1000,2000,0.044441,0
103,1,1000,2000,0.044019,0
104,1,1000,2000,0.044315,0
105,1,1000,2000,0.049182,0
106,1,1000,2000,0.049087,0
107,1,1000,2000,0.043124,0
108,1,1000,2000,0.042286,0
109,1,1000,2000,0.042136,0
110,1,1000,2000,0.042294,0
111,1,1000,2000,0.04427,0
112,1,1000,2000,0.043817,0
113,1,1000,2000,0.043977,0
114,1,1000,2000,0.044597,0
115,1,1000,2000,0.044854,0
116,1,1000,2000,0.045554,0
117,1,1000,2000,0.044094,0
118,1,1000,2000,0.044076,0
119,1,1000,2000,0.043498,0
120,1,1000,2000,0.051639,0
121,1,1000,2000,0.044728,0
122,1,1000,2000,0.043325,0
123,1,1000,2000,0.04213,0
124,1,1000,2000,0.04203,0
125,1,1000,2000,0.043033,0
126,1,1000,2000,0.043041,0
127,1,1000,2000,0.045989,0
128,1,1000,2000,0.053921,0
129,1,1000,2000,0.044387,0
130,1,1000,2000,0.044782,0
131,1,1000,2000,0.046999,0
132,1,1000,2000,0.044925,0
133,1,1000,2000,0.043403,0
134,1,1000,2000,0.042218,0
135,1,1000,2000,0.043705,0
136,1,1000,2000,0.044723,0
137,1,1000,2000,0.04829,0
138,1,1000,2000,0.043971,0
139,1,1000,2000,0.044641,0
140,1,1000,2000,0.044563,0
141,1,1000,2000,0.045842,0
142,1,1000,2000,0.044488,0
143,1,1000,2000,0.045631,0
144,1,1000,2000,0.04578,0
145,1,1000,2000,0.045839,0
146,1,1000,2000,0.044619,0
147,1,1000,2000,0.045659,0
148,1,1000,2000,0.045031,0
149,1,1000,2000,0.043156,0
150,1,1000,2000,0.045566,0
151,1,1000,2000,0.046285,0
152,1,1000,2000,0.042329,0
153,1,1000,2000,0.044447,0
154,1,1000,2000,0.042942,0
155,1,1000,2000,0.048145,0
156,1,1000,2000,0.043805,0
157,1,1000,2000,0.04378,0
158,1,1000,2000,0.041972,0
159,1,1000,2000,0.041839,0
160,1,1000,2000,0.044048,0
161,1,1000,2000,0.042715,0
162,1,1000,2000,0.042496,0
163,1,1000,2000,0.042132,0
164,1,1000,2000,0.04503,0
165,1,1000,2000,0.047026,0
166,1,1000,2000,0.046802,0
167,1,1000,2000,0.046364,0
168,1,1000,2000,0.045411,0
169,1,1000,2000,0.045904,0
170,1,1000,2000,0.045411,0
171,1,1000,2000,0.044475,0
172,1,1000,2000,0.046345,0
173,1,1000,2000,0.048668,0
174,1,1000,2000,0.044331,0
175,1,1000,2000,0.042912,0
176,1,1000,2000,0.042873,0
177,1,1000,2000,0.041861,0
178,1,1000,2000,0.042954,0
179,1,1000,2000,0.043408,0
180,1,1000,2000,0.043175,0
181,1,1000,2000,0.044952,0
182,1,1000,2000,0.045135,0
183,1,1000,2000,0.044579,0
184,1,1000,2000,0.046045,0
185,1,1000,2000,0.045644,0
186,1,1000,2000,0.042784,0
187,1,1000,2000,0.042809,0
188,1,1000,2000,0.042621,0
189,1,1000,2000,0.043344,0
190,1,1000,2000,0.041783,0
191,1,1000,2000,0.042909,0
192,1,1000,2000,0.043863,0
193,1,1000,2000,0.046441,0
194,1,1000,2000,0.046383,0
195,1,1000,2000,0.056862,0
196,1,1000,2000,0.046631,0
197,1,1000,2000,0.04409,0
198,1,1000,2000,0.044148,0
199,1,1000,2000,0.043572,0
200,1,1000,2000,0.04452,0
201,1,1000,2000,0.044377,0
202,1,1000,2000,0.043478,0
203,1,1000,2000,0.04418,0
204,1,1000,2000,0.045249,0
205,1,1000,2000,0.044353,0
206,1,1000,2000,0.044691,0
207,1,1000,2000,0.044442,0
208,1,1000,2000,0.044025,0
209,1,1000,2000,0.045167,0
210,1,1000,2000,0.044929,0
211,1,1000,2000,0.04451,0
212,1,1000,2000,0.046643,0
213,1,1000,2000,0.045571,0
214,1,1000,2000,0.046859,0
215,1,1000,2000,0.046164,0
216,1,1000,2000,0.045961,0
217,1,1000,2000,0.050693,0
218,1,1000,2000,0.049352,0
219,1,1000,2000,0.044798,0
220,1,1000,2000,0.043426,0
221,1,1000,2000,0.043204,0
222,1,1000,2000,0.043157,0
223,1,1000,2000,0.044048,0
224,1,1000,2000,0.046073,0
225,1,1000,2000,0.046272,0
226,1,1000,2000,0.046485,0
227,1,1000,2000,0.04638,0
228,1,1000,2000,0.046117,0
229,1,1000,2000,0.046003,0
230,1,1000,2000,0.044974,0
231,1,1000,2000,0.046145,0
232,1,1000,2000,0.045923,0
233,1,1000,2000,0.045954,0
234,1,1000,2000,0.046344,0
235,1,1000,2000,0.045695,0
236,1,1000,2000,0.044779,0
237,1,1000,2000,0.04548,0
238,1,1000,2000,0.046315,0
239,1,1000,2000,0.050621,0
240,1,1000,2000,0.045502,0
241,1,1000,2000,0.043776,0
242,1,1000,2000,0.043688,0
243,1,1000,2000,0.043365,0
244,1,1000,2000,0.0423,0
245,1,1000,2000,0.042454,0
246,1,1000,2000,0.045053,0
247,1,1000,2000,0.045567,0
248,1,1000,2000,0.048709,0
249,1,1000,2000,0.046271,0
250,1,1000,2000,0.044035,0
251,1,1000,2000,0.045294,0
252,1,1000,2000,0.044297,0
253,1,1000,2000,0.044174,0
254,1,1000,2000,0.046312,0
255,1,1000,2000,0.045812,0
256,1,1000,2000,0.046671,0
257,1,1000,2000,0.044921,0
258,1,1000,2000,0.043532,0
259,1,1000,2000,0.042826,0
260,1,1000,2000,0.044132,0
261,1,1000,2000,0.04984,0
262,1,1000,2000,0.046283,0
263,1,1000,2000,0.044393,0
264,1,1000,2000,0.045008,0
265,1,1000,2000,0.044171,0
266,1,1000,2000,0.043707,0
267,1,1000,2000,0.044619,0
268,1,1000,2000,0.050055,0
269,1,1000,2000,0.045254,0
270,1,1000,2000,0.044207,0
271,1,1000,2000,0.043899,0
272,1,1000,2000,0.043529,0
273,1,1000,2000,0.045192,0
274,1,1000,2000,0.046254,0
275,1,1000,2000,0.045428,0
276,1,1000,2000,0.045009,0
277,1,1000,2000,0.044372,0
278,1,1000,2000,0.044275,0
279,1,1000,2000,0.043574,0
280,1,1000,2000,0.044771,0
281,1,1000,2000,0.046815,0
282,1,1000,2000,0.048796,0
283,1,1000,2000,0.05261,0
284,1,1000,2000,0.045984,0
285,1,1000,2000,0.044417,0
286,1,1000,2000,0.047082,0
287,1,1000,2000,0.045717,0
288,1,1000,2000,0.045542,0
289,1,1000,2000,0.045857,0
290,1,1000,2000,0.046652,0
291,1,1000,2000,0.045991,0
292,1,1000,2000,0.046553,0
293,1,1000,2000,0.046583,0
294,1,1000,2000,0.045226,0
295,1,1000,2000,0.045867,0
296,1,1000,2000,0.046787,0
297,1,1000,2000,0.048217,0
298,1,1000,2000,0.049146,0
299,1,1000,2000,0.047947,0
300,1,1000,2000,0.046619,0
301,1,1000,2000,0.047708,0
302,1,1000,2000,0.046768,0
303,1,1000,2000,0.046384,0
304,1,1000,2000,0.051023,0
305,1,1000,2000,0.050578,0
306,1,1000,2000,0.046109,0
307,1,1000,2000,0.045953,0
308,1,1000,2000,0.044272,0
309,1,1000,2000,0.044921,0
310,1,1000,2000,0.043661,0
311,1,1000,2000,0.044776,0
312,1,1000,2000,0.045022,0
313,1,1000,2000,0.044929,0
314,1,1000,2000,0.046771,0
315,1,1000,2000,0.046418,0
316,1,1000,2000,0.048723,0
317,1,1000,2000,0.051618,0
318,1,1000,2000,0.049405,0
319,1,1000,2000,0.053608,0
320,1,1000,2000,0.04618,0
321,1,1000,2000,0.044723,0
322,1,1000,2000,0.043329,0
323,1,1000,2000,0.043221,0
324,1,1000,2000,0.043178,0
325,1,1000,2000,0.044256,0
326,1,1000,2000,0.052149,0
327,1,1000,2000,0.04581,0
328,1,1000,2000,0.044892,0
329,1,1000,2000,0.043224,0
330,1,1000,2000,0.043754,0
331,1,1000,2000,0.047754,0
332,1,1000,2000,0.048703,0
333,1,1000,2000,0.044161,0
334,1,1000,2000,0.046739,0
335,1,1000,2000,0.046751,0
336,1,1000,2000,0.047027,0
337,1,1000,2000,0.0468,0
338,1,1000,2000,0.044919,0
339,1,1000,2000,0.047161,0
340,1,1000,2000,0.046653,0
341,1,1000,2000,0.047825,0
342,1,1000,2000,0.045908,0
343,1,1000,2000,0.046152,0
344,1,1000,2000,0.046779,0
345,1,1000,2000,0.044428,0
346,1,1000,2000,0.044266,0
347,1,1000,2000,0.043484,0
348,1,1000,2000,0.048566,0
349,1,1000,2000,0.044406,0
350,1,1000,2000,0.043642,0
351,1,1000,2000,0.042415,0
352,1,1000,2000,0.043505,0
353,1,1000,2000,0.044514,0
354,1,1000,2000,0.042512,0
355,1,1000,2000,0.045035,0
356,1,1000,2000,0.046525,0
357,1,1000,2000,0.047263,0
358,1,1000,2000,0.045951,0
359,1,1000,2000,0.046025,0
360,1,1000,2000,0.045162,0
361,1,1000,2000,0.045021,0
362,1,1000,2000,0.047192,0
363,1,1000,2000,0.045891,0
364,1,1000,2000,0.045645,0
365,1,1000,2000,0.046401,0
366,1,1000,2000,0.05023,0
367,1,1000,2000,0.049155,0
368,1,1000,2000,0.048595,0
369,1,1000,2000,0.053542,0
370,1,1000,2000,0.048498,0
371,1,1000,2000,0.047337,0
372,1,1000,2000,0.046999,0
373,1,1000,2000,0.047607,0
374,1,1000,2000,0.04631,0
375,1,1000,2000,0.04697,0
376,1,1000,2000,0.04599,0
377,1,1000,2000,0.049646,0
378,1,1000,2000,0.048685,0
379,1,1000,2000,0.049198,0
380,1,1000,2000,0.048278,0
381,1,1000,2000,0.048465,0
382,1,1000,2000,0.049364,0
383,1,1000,2000,0.048458,0
384,1,1000,2000,0.051169,0
385,1,1000,2000,0.0464,0
386,1,1000,2000,0.04672,0
387,1,1000,2000,0.048423,0
388,1,1000,2000,0.047399,0
389,1,1000,2000,0.047075,0
390,1,1000,2000,0.054513,0
391,1,1000,2000,0.047045,0
392,1,1000,2000,0.045254,0
393,1,1000,2000,0.044509,0
394,1,1000,2000,0.044622,0
395,1,1000,2000,0.045715,0
396,1,1000,2000,0.044304,0
397,1,1000,2000,0.057387,0
398,1,1000,2000,0.045481,0
399,1,1000,2000,0.045338,0
400,1,1000,2000,0.044887,0
401,1,1000,2000,0.046703,0
402,1,1000,2000,0.046149,0
403,1,1000,2000,0.046911,0
404,1,1000,2000,0.045186,0
405,1,1000,2000,0.044848,0
406,1,1000,2000,0.045371,0
407,1,1000,2000,0.044642,0
408,1,1000,2000,0.04653,0
409,1,1000,2000,0.046242,0
410,1,1000,2000,0.051739,0
411,1,1000,2000,0.053659,0
412,1,1000,2000,0.047195,0
413,1,1000,2000,0.04515,0
414,1,1000,2000,0.045594,0
415,1,1000,2000,0.04609,0
416,1,1000,2000,0.045889,0
417,1,1000,2000,0.045641,0
418,1,1000,2000,0.04718,0
419,1,1000,2000,0.047318,0
420,1,1000,2000,0.047217,0
421,1,1000,2000,0.045694,0
422,1,1000,2000,0.046909,0
423,1,1000,2000,0.047202,0
424,1,1000,2000,0.046885,0
425,1,1000,2000,0.047463,0
426,1,1000,2000,0.047599,0
427,1,1000,2000,0.049798,0
428,1,1000,2000,0.055058,0
429,1,1000,2000,0.052357,0
430,1,1000,2000,0.048752,0
431,1,1000,2000,0.046212,0
432,1,1000,2000,0.047139,0
433,1,1000,2000,0.046281,0
434,1,1000,2000,0.045437,0
435,1,1000,2000,0.044467,0
436,1,1000,2000,0.044033,0
437,1,1000,2000,0.04661,0
438,1,1000,2000,0.043634,0
439,1,1000,2000,0.045707,0
440,1,1000,2000,0.047408,0
441,1,1000,2000,0.056291,0
442,1,1000,2000,0.048888,0
443,1,1000,2000,0.04463,0
444,1,1000,2000,0.044503,0
445,1,1000,2000,0.052927,0
446,1,1000,2000,0.045259,0
447,1,1000,2000,0.04476,0
448,1,1000,2000,0.044326,0
449,1,1000,2000,0.04573,0
450,1,1000,2000,0.04819,0
451,1,1000,2000,0.047904,0
452,1,1000,2000,0.046828,0
453,1,1000,2000,0.050764,0
454,1,1000,2000,0.051361,0
455,1,1000,2000,0.048518,0
456,1,1000,2000,0.046743,0
457,1,1000,2000,0.048373,0
458,1,1000,2000,0.047473,0
459,1,1000,2000,0.048017,0
460,1,1000,2000,0.047112,0
461,1,1000,2000,0.046415,0
462,1,1000,2000,0.046675,0
463,1,1000,2000,0.0467,0
464,1,1000,2000,0.04708,0
465,1,1000,2000,0.046857,0
466,1,1000,2000,0.046133,0
467,1,1000,2000,0.0492,0
468,1,1000,2000,0.050593,0
469,1,1000,2000,0.048564,0
470,1,1000,2000,0.050683,0
471,1,1000,2000,0.047975,0
472,1,1000,2000,0.048632,0
473,1,1000,2000,0.0545,0
474,1,1000,2000,0.104939,0
475,1,1000,2000,0.08094,0
476,1,1000,2000,0.068751,0
477,1,1000,2000,0.067731,0
478,1,1000,2000,0.067432,0
479,1,1000,2000,0.06642,0
480,1,1000,2000,0.06748,0
481,1,1000,2000,0.071295,0
482,1,1000,2000,0.070214,0
483,1,1000,2000,0.068577,0
484,1,1000,2000,0.069802,0
485,1,1000,2000,0.069944,0
486,1,1000,2000,0.066178,0
487,1,1000,2000,0.074009,0
488,1,1000,2000,0.078809,0
489,1,1000,2000,0.067246,0
490,1,1000,2000,0.066304,0
491,1,1000,2000,0.069378,0
492,1,1000,2000,0.068027,0
493,1,1000,2000,0.067923,0
494,1,1000,2000,0.067058,0
495,1,1000,2000,0.064246,0
496,1,1000,2000,0.067041,0
497,1,1000,2000,0.067361,0
498,1,1000,2000,0.066416,0
499,1,1000,2000,0.06764,0
500,1,1000,2000,0.066291,0
501,1,1000,2000,0.063924,0
502,1,1000,2000,0.071789,0
503,1,1000,2000,0.067815,0
504,1,1000,2000,0.068948,0
505,1,1000,2000,0.069457,0
506,1,1000,2000,0.070388,0
507,1,1000,2000,0.068655,0
508,1,1000,2000,0.068806,0
509,1,1000,2000,0.066022,0
510,1,1000,2000,0.070211,0
511,1,1000,2000,0.070018,0
512,1,1000,2000,0.069179,0
513,1,1000,2000,0.068096,0
514,1,1000,2000,0.071194,0
515,1,1000,2000,0.0707,0
516,1,1000,2000,0.068722,0
517,1,1000,2000,0.117654,0
518,1,1000,2000,0.104757,0
519,1,1000,2000,0.070819,0
520,1,1000,2000,0.072279,0
521,1,1000,2000,0.066941,0
522,1,1000,2000,0.066924,0
523,1,1000,2000,0.06539,0
524,1,1000,2000,0.066234,0
525,1,1000,2000,0.067893,0
526,1,1000,2000,0.067379,0
527,1,1000,2000,0.068228,0
528,1,1000,2000,0.067176,0
529,1,1000,2000,0.06921,0
530,1,1000,2000,0.072437,0
531,1,1000,2000,0.065445,0
532,1,1000,2000,0.06498,0
533,1,1000,2000,0.067311,0
534,1,1000,2000,0.068039,0
535,1,1000,2000,0.069649,0
536,1,1000,2000,0.067171,0
537,1,1000,2000,0.067835,0
538,1,1000,2000,0.066962,0
539,1,1000,2000,0.067081,0
540,1,1000,2000,0.066937,0
541,1,1000,2000,0.066597,0
542,1,1000,2000,0.066144,0
543,1,1000,2000,0.068291,0
544,1,1000,2000,0.068373,0
545,1,1000,2000,0.073006,0
546,1,1000,2000,0.06614,0
547,1,1000,2000,0.064862,0
548,1,1000,2000,0.066573,0
549,1,1000,2000,0.067962,0
550,1,1000,2000,0.06855,0
551,1,1000,2000,0.068747,0
552,1,1000,2000,0.07051,0
553,1,1000,2000,0.064865,0
554,1,1000,2000,0.067169,0
555,1,1000,2000,0.067999,0
556,1,1000,2000,0.066975,0
557,1,1000,2000,0.06437,0
558,1,1000,2000,0.068718,0
559,1,1000,2000,0.066688,0
560,1,1000,2000,0.073465,0
561,1,1000,2000,0.065527,0
562,1,1000,2000,0.064902,0
563,1,1000,2000,0.066933,0
564,1,1000,2000,0.064792,0
565,1,1000,2000,0.066548,0
566,1,1000,2000,0.069991,0
567,1,1000,2000,0.065409,0
568,1,1000,2000,0.067803,0
569,1,1000,2000,0.067919,0
570,1,1000,2000,0.065888,0
571,1,1000,2000,0.068285,0
572,1,1000,2000,0.066571,0
573,1,1000,2000,0.068479,0
574,1,1000,2000,0.069954,0
575,1,1000,2000,0.065072,0
576,1,1000,2000,0.066823,0
577,1,1000,2000,0.065675,0
578,1,1000,2000,0.065143,0
579,1,1000,2000,0.067322,0
