iteration,batch_size,warmup_iterations,measured_iterations,latency_ms,is_max
1,1,10,500,0.032766,0
2,1,10,500,0.032698,0
3,1,10,500,0.032603,0
4,1,10,500,0.032517,0
5,1,10,500,0.032566,0
6,1,10,500,0.03249,0
7,1,10,500,0.03244,0
8,1,10,500,0.032459,0
9,1,10,500,0.032554,0
10,1,10,500,0.032767,0
11,1,10,500,0.03245,0
12,1,10,500,0.032354,0
13,1,10,500,0.032543,0
14,1,10,500,0.032567,0
15,1,10,500,0.032452,0
16,1,10,500,0.032413,0
17,1,10,500,0.032497,0
18,1,10,500,0.032403,0
19,1,10,500,0.032419,0
20,1,10,500,0.032576,0
21,1,10,500,0.032634,0
22,1,10,500,0.032429,0
23,1,10,500,0.032356,0
24,1,10,500,0.032631,0
25,1,10,500,0.032572,0
26,1,10,500,0.034755,0
27,1,10,500,0.032459,0
28,1,10,500,0.032546,0
29,1,10,500,0.032571,0
30,1,10,500,0.032479,0
31,1,10,500,0.032557,0
32,1,10,500,0.032429,0
33,1,10,500,0.032377,0
34,1,10,500,0.032509,0
35,1,10,500,0.032441,0
36,1,10,500,0.032364,0
37,1,10,500,0.032403,0
38,1,10,500,0.032387,0
39,1,10,500,0.032488,0
40,1,10,500,0.032348,0
41,1,10,500,0.032394,0
42,1,10,500,0.032366,0
43,1,10,500,0.032336,0
44,1,10,500,0.032342,0
45,1,10,500,0.03237,0
46,1,10,500,0.032403,0
47,1,10,500,0.032444,0
48,1,10,500,0.032372,0
49,1,10,500,0.032405,0
50,1,10,500,0.03241,0
51,1,10,500,0.032308,0
52,1,10,500,0.03249,0
53,1,10,500,0.032299,0
54,1,10,500,0.032445,0
55,1,10,500,0.032532,0
56,1,10,500,0.032349,0
57,1,10,500,0.033972,0
58,1,10,500,0.032487,0
59,1,10,500,0.032582,0
60,1,10,500,0.032522,0
61,1,10,500,0.032435,0
62,1,10,500,0.032496,0
63,1,10,500,0.032451,0
64,1,10,500,0.032407,0
65,1,10,500,0.03254,0
66,1,10,500,0.032504,0
67,1,10,500,0.032468,0
68,1,10,500,0.032444,0
69,1,10,500,0.032442,0
70,1,10,500,0.032522,0
71,1,10,500,0.032391,0
72,1,10,500,0.032402,0
73,1,10,500,0.032426,0
74,1,10,500,0.032339,0
75,1,10,500,0.032376,0
76,1,10,500,0.032297,0
77,1,10,500,0.03394,0
78,1,10,500,0.034626,0
79,1,10,500,0.034595,0
80,1,10,500,0.034544,0
81,1,10,500,0.03476,0
82,1,10,500,0.034661,0
83,1,10,500,0.034696,0
84,1,10,500,0.033873,0
85,1,10,500,0.034655,0
86,1,10,500,0.034798,0
87,1,10,500,0.036653,0
88,1,10,500,0.036641,0
89,1,10,500,0.036063,0
90,1,10,500,0.034671,0
91,1,10,500,0.03475,0
92,1,10,500,0.034957,0
93,1,10,500,0.032611,0
94,1,10,500,0.032389,0
95,1,10,500,0.032376,0
96,1,10,500,0.032431,0
97,1,10,500,0.03238,0
98,1,10,500,0.032513,0
99,1,10,500,0.032449,0
100,1,10,500,0.032367,0
101,1,10,500,0.032551,0
102,1,10,500,0.032468,0
103,1,10,500,0.032391,0
104,1,10,500,0.032418,0
105,1,10,500,0.032437,0
106,1,10,500,0.032466,0
107,1,10,500,0.032387,0
108,1,10,500,0.032328,0
109,1,10,500,0.032475,0
110,1,10,500,0.032582,0
111,1,10,500,0.032456,0
112,1,10,500,0.032596,0
113,1,10,500,0.032351,0
114,1,10,500,0.032308,0
115,1,10,500,0.032441,0
116,1,10,500,0.032405,0
117,1,10,500,0.035526,0
118,1,10,500,0.033885,0
119,1,10,500,0.034549,0
120,1,10,500,0.034722,0
121,1,10,500,0.034576,0
122,1,10,500,0.033373,0
123,1,10,500,0.032426,0
124,1,10,500,0.032338,0
125,1,10,500,0.032445,0
126,1,10,500,0.032364,0
127,1,10,500,0.032228,0
128,1,10,500,0.032365,0
129,1,10,500,0.032274,0
130,1,10,500,0.032474,0
131,1,10,500,0.032355,0
132,1,10,500,0.032438,0
133,1,10,500,0.032305,0
134,1,10,500,0.032348,0
135,1,10,500,0.032339,0
136,1,10,500,0.032213,0
137,1,10,500,0.032367,0
138,1,10,500,0.032427,0
139,1,10,500,0.032386,0
140,1,10,500,0.032472,0
141,1,10,500,0.03234,0
142,1,10,500,0.032471,0
143,1,10,500,0.032433,0
144,1,10,500,0.032405,0
145,1,10,500,0.03253,0
146,1,10,500,0.032398,0
147,1,10,500,0.032456,0
148,1,10,500,0.034583,0
149,1,10,500,0.034705,0
150,1,10,500,0.035032,0
151,1,10,500,0.034964,0
152,1,10,500,0.034651,0
153,1,10,500,0.032531,0
154,1,10,500,0.032551,0
155,1,10,500,0.032405,0
156,1,10,500,0.032661,0
157,1,10,500,0.032317,0
158,1,10,500,0.032506,0
159,1,10,500,0.032589,0
160,1,10,500,0.032395,0
161,1,10,500,0.032623,0
162,1,10,500,0.032459,0
163,1,10,500,0.03245,0
164,1,10,500,0.032424,0
165,1,10,500,0.032488,0
166,1,10,500,0.032565,0
167,1,10,500,0.032509,0
168,1,10,500,0.032609,0
169,1,10,500,0.032828,0
170,1,10,500,0.034673,0
171,1,10,500,0.034727,0
172,1,10,500,0.034851,0
173,1,10,500,0.035012,0
174,1,10,500,0.03437,0
175,1,10,500,0.032503,0
176,1,10,500,0.034001,0
177,1,10,500,0.034007,0
178,1,10,500,0.034026,0
179,1,10,500,0.034381,0
180,1,10,500,0.034707,0
181,1,10,500,0.034553,0
182,1,10,500,0.032486,0
183,1,10,500,0.032361,0
184,1,10,500,0.03243,0
185,1,10,500,0.032332,0
186,1,10,500,0.032518,0
187,1,10,500,0.03243,0
188,1,10,500,0.032357,0
189,1,10,500,0.032432,0
190,1,10,500,0.033967,0
191,1,10,500,0.034474,0
192,1,10,500,0.034511,0
193,1,10,500,0.035548,0
194,1,10,500,0.032405,0
195,1,10,500,0.032479,0
196,1,10,500,0.032467,0
197,1,10,500,0.035134,0
198,1,10,500,0.034872,0
199,1,10,500,0.034651,0
