iteration,batch_size,warmup_iterations,measured_iterations,latency_ms,is_max
1,1,10,500,0.031551,0
2,1,10,500,0.031196,0
3,1,10,500,0.03071,0
4,1,10,500,0.031168,0
5,1,10,500,0.032272,0
6,1,10,500,0.031366,0
7,1,10,500,0.030939,0
8,1,10,500,0.031324,0
9,1,10,500,0.031181,0
10,1,10,500,0.031637,0
11,1,10,500,0.030719,0
12,1,10,500,0.032143,0
13,1,10,500,0.031832,0
14,1,10,500,0.031665,0
15,1,10,500,0.032728,0
16,1,10,500,0.032198,0
17,1,10,500,0.03186,0
18,1,10,500,0.031109,0
19,1,10,500,0.03125,0
20,1,10,500,0.031817,0
21,1,10,500,0.031353,0
22,1,10,500,0.031012,0
23,1,10,500,0.032509,0
24,1,10,500,0.032113,0
25,1,10,500,0.034995,0
26,1,10,500,0.030511,0
27,1,10,500,0.030365,0
28,1,10,500,0.029101,0
29,1,10,500,0.029038,0
30,1,10,500,0.028029,0
31,1,10,500,0.029985,0
32,1,10,500,0.030132,0
33,1,10,500,0.029843,0
34,1,10,500,0.02913,0
35,1,10,500,0.030512,0
36,1,10,500,0.032203,0
37,1,10,500,0.031778,0
38,1,10,500,0.03236,0
39,1,10,500,0.031755,0
40,1,10,500,0.030652,0
41,1,10,500,0.032717,0
42,1,10,500,0.033248,0
43,1,10,500,0.031666,0
44,1,10,500,0.032143,0
45,1,10,500,0.03211,0
46,1,10,500,0.031946,0
47,1,10,500,0.031342,0
48,1,10,500,0.031767,0
49,1,10,500,0.031334,0
50,1,10,500,0.032871,0
51,1,10,500,0.032502,0
52,1,10,500,0.030984,0
53,1,10,500,0.030514,0
54,1,10,500,0.030711,0
55,1,10,500,0.031533,0
56,1,10,500,0.034957,0
57,1,10,500,0.03326,0
58,1,10,500,0.029043,0
59,1,10,500,0.029174,0
60,1,10,500,0.028912,0
61,1,10,500,0.029662,0
62,1,10,500,0.030054,0
63,1,10,500,0.029678,0
64,1,10,500,0.02808,0
65,1,10,500,0.027953,0
66,1,10,500,0.029118,0
67,1,10,500,0.030084,0
68,1,10,500,0.030386,0
69,1,10,500,0.03102,0
70,1,10,500,0.031196,0
71,1,10,500,0.031511,0
72,1,10,500,0.030738,0
73,1,10,500,0.030767,0
74,1,10,500,0.030605,0
75,1,10,500,0.030308,0
76,1,10,500,0.031452,0
77,1,10,500,0.03027,0
78,1,10,500,0.032798,0
79,1,10,500,0.031618,0
80,1,10,500,0.031658,0
81,1,10,500,0.032238,0
82,1,10,500,0.032111,0
83,1,10,500,0.031185,0
84,1,10,500,0.032294,0
85,1,10,500,0.031642,0
86,1,10,500,0.031431,0
87,1,10,500,0.031026,0
88,1,10,500,0.031448,0
89,1,10,500,0.034559,0
90,1,10,500,0.031665,0
91,1,10,500,0.029934,0
92,1,10,500,0.029625,0
93,1,10,500,0.029553,0
94,1,10,500,0.030248,0
95,1,10,500,0.029824,0
96,1,10,500,0.029826,0
97,1,10,500,0.030632,0
98,1,10,500,0.029456,0
99,1,10,500,0.029934,0
100,1,10,500,0.030951,0
101,1,10,500,0.031457,0
102,1,10,500,0.031534,0
103,1,10,500,0.030947,0
104,1,10,500,0.032487,0
105,1,10,500,0.031716,0
106,1,10,500,0.031069,0
107,1,10,500,0.031123,0
108,1,10,500,0.031395,0
109,1,10,500,0.031066,0
110,1,10,500,0.031913,0
111,1,10,500,0.031224,0
112,1,10,500,0.031524,0
113,1,10,500,0.031096,0
114,1,10,500,0.031413,0
115,1,10,500,0.031373,0
116,1,10,500,0.031768,0
117,1,10,500,0.030888,0
118,1,10,500,0.032668,0
119,1,10,500,0.030663,0
120,1,10,500,0.031941,0
121,1,10,500,0.036603,0
122,1,10,500,0.029734,0
123,1,10,500,0.029198,0
124,1,10,500,0.030507,0
125,1,10,500,0.029555,0
126,1,10,500,0.030292,0
127,1,10,500,0.029713,0
128,1,10,500,0.030387,0
129,1,10,500,0.028624,0
130,1,10,500,0.028974,0
131,1,10,500,0.029347,0
132,1,10,500,0.030288,0
133,1,10,500,0.03161,0
134,1,10,500,0.032133,0
135,1,10,500,0.030445,0
136,1,10,500,0.031976,0
137,1,10,500,0.031435,0
138,1,10,500,0.033001,0
139,1,10,500,0.032233,0
140,1,10,500,0.03084,0
141,1,10,500,0.031917,0
142,1,10,500,0.030901,0
143,1,10,500,0.031686,0
144,1,10,500,0.032293,0
145,1,10,500,0.031111,0
146,1,10,500,0.031215,0
147,1,10,500,0.032122,0
148,1,10,500,0.030929,0
149,1,10,500,0.032452,0
150,1,10,500,0.031684,0
151,1,10,500,0.030473,0
152,1,10,500,0.031253,0
153,1,10,500,0.034238,0
154,1,10,500,0.03092,0
155,1,10,500,0.03288,0
156,1,10,500,0.031636,0
157,1,10,500,0.031836,0
158,1,10,500,0.031396,0
159,1,10,500,0.030495,0
160,1,10,500,0.031374,0
161,1,10,500,0.031454,0
162,1,10,500,0.031616,0
163,1,10,500,0.031121,0
164,1,10,500,0.03157,0
165,1,10,500,0.031495,0
166,1,10,500,0.03132,0
167,1,10,500,0.031491,0
168,1,10,500,0.031516,0
169,1,10,500,0.031682,0
170,1,10,500,0.030572,0
171,1,10,500,0.031793,0
172,1,10,500,0.03118,0
173,1,10,500,0.031387,0
174,1,10,500,0.031173,0
175,1,10,500,0.030253,0
176,1,10,500,0.02986,0
177,1,10,500,0.030439,0
178,1,10,500,0.03145,0
179,1,10,500,0.030707,0
180,1,10,500,0.031122,0
181,1,10,500,0.030654,0
182,1,10,500,0.031149,0
183,1,10,500,0.03144,0
184,1,10,500,0.030551,0
185,1,10,500,0.10386,1
186,1,10,500,0.029357,0
187,1,10,500,0.02833,0
188,1,10,500,0.028586,0
189,1,10,500,0.028827,0
190,1,10,500,0.028653,0
191,1,10,500,0.029089,0
192,1,10,500,0.028223,0
193,1,10,500,0.02833,0
194,1,10,500,0.030267,0
195,1,10,500,0.029906,0
196,1,10,500,0.030047,0
197,1,10,500,0.030286,0
198,1,10,500,0.030344,0
199,1,10,500,0.030841,0
200,1,10,500,0.030017,0
201,1,10,500,0.030639,0
202,1,10,500,0.029916,0
203,1,10,500,0.030721,0
204,1,10,500,0.030722,0
205,1,10,500,0.031069,0
206,1,10,500,0.030139,0
207,1,10,500,0.031229,0
208,1,10,500,0.03092,0
209,1,10,500,0.030247,0
210,1,10,500,0.031198,0
211,1,10,500,0.030041,0
212,1,10,500,0.030079,0
213,1,10,500,0.029166,0
214,1,10,500,0.031445,0
215,1,10,500,0.03451,0
216,1,10,500,0.031132,0
217,1,10,500,0.041614,0
218,1,10,500,0.027651,0
219,1,10,500,0.028238,0
220,1,10,500,0.028943,0
221,1,10,500,0.027972,0
222,1,10,500,0.028929,0
223,1,10,500,0.027216,0
224,1,10,500,0.026538,0
225,1,10,500,0.027528,0
226,1,10,500,0.027023,0
227,1,10,500,0.027216,0
228,1,10,500,0.027731,0
229,1,10,500,0.02675,0
230,1,10,500,0.027798,0
231,1,10,500,0.027666,0
232,1,10,500,0.027969,0
233,1,10,500,0.026997,0
234,1,10,500,0.02777,0
235,1,10,500,0.028021,0
236,1,10,500,0.027801,0
237,1,10,500,0.028164,0
238,1,10,500,0.026684,0
239,1,10,500,0.027385,0
240,1,10,500,0.026498,0
241,1,10,500,0.0272,0
242,1,10,500,0.027695,0
243,1,10,500,0.026924,0
244,1,10,500,0.027182,0
245,1,10,500,0.027285,0
246,1,10,500,0.028849,0
247,1,10,500,0.028084,0
248,1,10,500,0.027151,0
249,1,10,500,0.02704,0
250,1,10,500,0.02784,0
251,1,10,500,0.029811,0
252,1,10,500,0.028128,0
253,1,10,500,0.028404,0
254,1,10,500,0.0274,0
255,1,10,500,0.026969,0
256,1,10,500,0.028176,0
257,1,10,500,0.027985,0
258,1,10,500,0.028205,0
259,1,10,500,0.026353,0
260,1,10,500,0.026284,0
261,1,10,500,0.027322,0
262,1,10,500,0.027629,0
263,1,10,500,0.027384,0
264,1,10,500,0.027222,0
265,1,10,500,0.027566,0
266,1,10,500,0.026807,0
267,1,10,500,0.027486,0
268,1,10,500,0.026232,0
269,1,10,500,0.027204,0
270,1,10,500,0.027679,0
271,1,10,500,0.027192,0
272,1,10,500,0.026826,0
273,1,10,500,0.029839,0
274,1,10,500,0.030734,0
275,1,10,500,0.031964,0
276,1,10,500,0.031883,0
277,1,10,500,0.028678,0
278,1,10,500,0.029399,0
279,1,10,500,0.030457,0
280,1,10,500,0.037264,0
281,1,10,500,0.036699,0
282,1,10,500,0.029773,0
283,1,10,500,0.027401,0
284,1,10,500,0.027623,0
285,1,10,500,0.030457,0
286,1,10,500,0.02879,0
287,1,10,500,0.028031,0
288,1,10,500,0.027555,0
289,1,10,500,0.028212,0
290,1,10,500,0.027489,0
291,1,10,500,0.027318,0
292,1,10,500,0.027144,0
293,1,10,500,0.027446,0
294,1,10,500,0.027351,0
295,1,10,500,0.027476,0
296,1,10,500,0.026722,0
297,1,10,500,0.027759,0
298,1,10,500,0.027575,0
299,1,10,500,0.026796,0
300,1,10,500,0.026146,0
301,1,10,500,0.026504,0
302,1,10,500,0.024993,0
303,1,10,500,0.026885,0
304,1,10,500,0.026713,0
305,1,10,500,0.027197,0
306,1,10,500,0.025783,0
307,1,10,500,0.027407,0
308,1,10,500,0.026993,0
309,1,10,500,0.02819,0
310,1,10,500,0.028027,0
311,1,10,500,0.027054,0
312,1,10,500,0.027255,0
313,1,10,500,0.027047,0
314,1,10,500,0.026384,0
315,1,10,500,0.028343,0
316,1,10,500,0.027146,0
317,1,10,500,0.027258,0
318,1,10,500,0.025812,0
319,1,10,500,0.027177,0
320,1,10,500,0.02723,0
321,1,10,500,0.02595,0
322,1,10,500,0.030793,0
323,1,10,500,0.028519,0
324,1,10,500,0.026287,0
325,1,10,500,0.027094,0
326,1,10,500,0.026679,0
327,1,10,500,0.02659,0
328,1,10,500,0.0265,0
329,1,10,500,0.026496,0
330,1,10,500,0.026767,0
331,1,10,500,0.027487,0
332,1,10,500,0.027064,0
333,1,10,500,0.026982,0
334,1,10,500,0.026794,0
335,1,10,500,0.027186,0
336,1,10,500,0.026945,0
337,1,10,500,0.02747,0
338,1,10,500,0.027716,0
339,1,10,500,0.027123,0
340,1,10,500,0.027662,0
341,1,10,500,0.02726,0
342,1,10,500,0.026324,0
343,1,10,500,0.027324,0
344,1,10,500,0.027393,0
345,1,10,500,0.026152,0
346,1,10,500,0.026789,0
347,1,10,500,0.026715,0
348,1,10,500,0.026504,0
349,1,10,500,0.027104,0
350,1,10,500,0.026345,0
351,1,10,500,0.027396,0
352,1,10,500,0.026521,0
353,1,10,500,0.026779,0
354,1,10,500,0.026412,0
355,1,10,500,0.026468,0
356,1,10,500,0.027764,0
357,1,10,500,0.027753,0
358,1,10,500,0.026176,0
359,1,10,500,0.0308,0
360,1,10,500,0.026488,0
361,1,10,500,0.027582,0
362,1,10,500,0.026644,0
363,1,10,500,0.027032,0
364,1,10,500,0.026986,0
365,1,10,500,0.026014,0
366,1,10,500,0.027016,0
367,1,10,500,0.026622,0
368,1,10,500,0.027553,0
369,1,10,500,0.028053,0
370,1,10,500,0.026875,0
371,1,10,500,0.026415,0
372,1,10,500,0.026803,0
373,1,10,500,0.027279,0
374,1,10,500,0.026505,0
375,1,10,500,0.026753,0
376,1,10,500,0.026447,0
377,1,10,500,0.027432,0
378,1,10,500,0.027334,0
379,1,10,500,0.026487,0
380,1,10,500,0.028442,0
381,1,10,500,0.027798,0
382,1,10,500,0.030218,0
383,1,10,500,0.028962,0
384,1,10,500,0.027577,0
385,1,10,500,0.028408,0
386,1,10,500,0.028356,0
387,1,10,500,0.028816,0
388,1,10,500,0.02735,0
389,1,10,500,0.028254,0
390,1,10,500,0.027482,0
391,1,10,500,0.027624,0
392,1,10,500,0.026651,0
393,1,10,500,0.028308,0
394,1,10,500,0.027552,0
395,1,10,500,0.029878,0
396,1,10,500,0.028732,0
397,1,10,500,0.02806,0
398,1,10,500,0.026728,0
399,1,10,500,0.026837,0
400,1,10,500,0.02767,0
